0,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
1,   8:00 am  EDT,/ASP/res_a.asp?tg=49&classId=7529&classDate=3/13/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Phoebe Higgins,none,Studio 2, 1 hour
2,   8:00 am  EDT,/ASP/res_a.asp?tg=22&classId=7532&classDate=3/13/2023&clsLoc=1,LIVE-STREAM Mat Pilates Class,Phoebe Higgins,none,none, 1 hour
3,   9:00 am  EDT,/ASP/res_a.asp?tg=49&classId=7514&classDate=3/13/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 5, 1 hour & 30 minutes
4,   10:00 am  EDT,/ASP/res_a.asp?tg=49&classId=7535&classDate=3/13/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 3, 1 hour & 30 minutes
5,   10:30 am  EDT,/ASP/res_a.asp?tg=49&classId=7614&classDate=3/13/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Shirley Bassat,none,Studio 5, 1 hour & 30 minutes
6,   11:00 am  EDT,/ASP/res_a.asp?tg=22&classId=7545&classDate=3/13/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Brigid Boden (1),none,none, 1 hour & 15 minutes
7,   11:30 am  EDT,/ASP/res_a.asp?tg=49&classId=7555&classDate=3/13/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Julie Voshell,none,Studio 2, 1 hour & 30 minutes
8,   12:00 pm  EDT,/ASP/res_a.asp?tg=49&classId=7568&classDate=3/13/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 5, 1 hour & 30 minutes
9,   6:00 pm  EDT,/ASP/res_a.asp?tg=49&classId=7556&classDate=3/13/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3, 1 hour & 30 minutes
10,   7:00 pm  EDT,/ASP/res_a.asp?tg=49&classId=7569&classDate=3/13/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Anne Kelly,none,Studio 4, 1 hour & 30 minutes
11,   7:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=7546&classDate=3/13/2023&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Julie Voshell,none,none, 1 hour & 15 minutes
12,   7:15 pm  EDT,/ASP/res_a.asp?tg=49&classId=7536&classDate=3/13/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Ashley Talluto (2),none,Studio 1, 1 hour & 30 minutes
13,   7:30 pm  EDT,/ASP/res_a.asp?tg=49&classId=7516&classDate=3/13/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Maximilien Baud,none,Studio 5, 1 hour & 30 minutes
14,   7:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=7594&classDate=3/13/2023&clsLoc=1,LIVE-STREAMING Advanced Beginner Ballet,Maximilien Baud,none,none, 1 hour & 30 minutes
15,   7:30 pm  EDT,/ASP/res_a.asp?tg=49&classId=7579&classDate=3/13/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ginger Thatcher,none,Studio 3, 1 hour & 30 minutes
