0,Start time,Sign up,Classes,Teacher,Room,Duration
1,   9:30 am  EDT,/ASP/res_a.asp?tg=23&classId=2288&classDate=3/13/2023&clsLoc=1,IN-Studio: RISE & BALLET!,Joan Liu,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
2,   11:00 am  EDT,/ASP/res_a.asp?tg=23&classId=2286&classDate=3/13/2023&clsLoc=1,IN-Studio: 2-Hour INTERMEDIATE Ballet,Kenny Larson,Ballet Arts STUDIO LIVE!, 2 hours
3,   1:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=1115&classDate=3/13/2023&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Simon Kazantsev,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
4,   2:30 pm  EDT,/ASP/res_a.asp?tg=23&classId=2276&classDate=3/13/2023&clsLoc=1,IN-Studio: ADVANCED BEGINNER Ballet,Kate Loh,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
5,   4:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=2303&classDate=3/13/2023&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Noriko Hara,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
6,   5:30 pm  EDT,/ASP/res_a.asp?tg=23&classId=2396&classDate=3/13/2023&clsLoc=1,IN-Studio: GRANDE CENTER (aka Men's Class),Simon Kazantsev,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
7,   7:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=2363&classDate=3/13/2023&clsLoc=1,IN-Studio: OPEN LEVEL BALLET,Yuka Kawazu,Ballet Arts STUDIO LIVE!, 1 hour & 30 minutes
8,   9:30 am  EDT,/ASP/res_a.asp?tg=22&classId=2290&classDate=3/13/2023&clsLoc=1,VIRTUAL: RISE & BALLET!,Joan Liu,BALLET Arts - VIRTUAL STUDIO, 1 hour & 30 minutes
9,   11:00 am  EDT,/ASP/res_a.asp?tg=22&classId=2287&classDate=3/13/2023&clsLoc=1,VIRTUAL: 2-Hour INTERMEDIATE Ballet,Kenny Larson,BALLET Arts - VIRTUAL STUDIO, 2 hours
10,   1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2241&classDate=3/13/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO, 1 hour & 30 minutes
11,   2:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=2277&classDate=3/13/2023&clsLoc=1,VIRTUAL: ADVANCED BEGINNER Ballet,Kate Loh,Ballet Arts Virtual - 2, 1 hour & 30 minutes
12,   4:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2304&classDate=3/13/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Noriko Hara,BALLET Arts - VIRTUAL STUDIO, 1 hour & 30 minutes
13,   5:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=2397&classDate=3/13/2023&clsLoc=1,VIRTUAL: GRANDE CENTER (aka Men's Class),Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO, 1 hour & 30 minutes
14,   7:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2364&classDate=3/13/2023&clsLoc=1,VIRTUAL: BALLET OPEN LEVEL,Yuka Kawazu,BALLET Arts - VIRTUAL STUDIO, 1 hour & 30 minutes
