Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Peridance,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5440&classDate=8/12/2023&clsLoc=1,Beg Contemporary,Bo Kyung Lee,none,1 hour & 30 minutes
Peridance,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5111&classDate=8/12/2023&clsLoc=1,Inter Ballet,Graciela Kozak,none,1 hour & 30 minutes
Peridance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6213&classDate=8/12/2023&clsLoc=1,Beg House,Huu Rock,none,1 hour & 30 minutes
Peridance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5439&classDate=8/12/2023&clsLoc=1,Inter Ballet,François Perron,Peridance Center,1 hour & 30 minutes
Peridance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4950&classDate=8/12/2023&clsLoc=1,Intro & Beg Salsa Partnering,Baila Society,none,1 hour & 30 minutes
Peridance,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5430&classDate=8/12/2023&clsLoc=1,Inter Contemporary,Vive _ (1),none,1 hour & 30 minutes
Peridance,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6216&classDate=8/12/2023&clsLoc=1,Inter Jazz,Grant Chang,none,1 hour & 30 minutes
Peridance,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5429&classDate=8/12/2023&clsLoc=1,Intro & Beg Salsa Partnering,Baila Society,none,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5427&classDate=8/12/2023&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5411&classDate=8/12/2023&clsLoc=1,Open Locking,Ebenezer Ackon (2),none,1 hour & 30 minutes
Peridance,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=5683&classDate=8/12/2023&clsLoc=1,Adv African,Maguette Camara | DJONIBA DANCE CENTRE,none,1 hour & 30 minutes
Peridance,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5425&classDate=8/12/2023&clsLoc=1,Open New Style Hustle,Jeff Selby,Peridance Center,1 hour & 30 minutes
Peridance,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6313&classDate=8/12/2023&clsLoc=1,Open Brazilian Samba,Cecilia Lero | DDC,none,1 hour & 30 minutes
