0,Start time,Sign up,Classes,Teacher,Accompanist,Co-Teacher,Room,Duration
1,   10:00 am  EDT,/ASP/res_a.asp?tg=68&classId=5460&classDate=3/14/2023&clsLoc=1,Adv Ballet (Online),Elizabeth Ferrell,none,none,none, 1 hour & 30 minutes
2,   11:30 am  EDT,/ASP/res_a.asp?tg=46&classId=5540&classDate=3/14/2023&clsLoc=1,Inter Contemporary (Online),Brice Mousset,none,none,none, 1 hour & 30 minutes
3,   11:30 am  EDT,none,Open Gyrokinesis® (Online),Cancelled Today,none,none,none, 1 hour & 30 minutes
4,   1:00 pm  EDT,/ASP/res_a.asp?tg=68&classId=5420&classDate=3/14/2023&clsLoc=1,Inter Ballet (Online),Kate Loh,none,none,none, 1 hour & 30 minutes
5,   2:30 pm  EDT,/ASP/res_a.asp?tg=46&classId=5534&classDate=3/14/2023&clsLoc=1,Adv Contemporary (Online),Chris Ralph,none,none,none, 1 hour & 30 minutes
6,   2:30 pm  EDT,/ASP/res_a.asp?tg=62&classId=5384&classDate=3/14/2023&clsLoc=1,Beg Graham (Online),Caterina Rago,none,none,none, 1 hour & 30 minutes
7,   4:15 pm  EDT,/ASP/res_a.asp?tg=68&classId=5947&classDate=3/14/2023&clsLoc=1,Open Ballet (Online),Dianna Warren,none,none,none, 1 hour & 30 minutes
8,   6:00 pm  EDT,/ASP/res_a.asp?tg=68&classId=5894&classDate=3/14/2023&clsLoc=1,Beg Ballet (Online),Julia Gleich,none,none,none, 1 hour & 30 minutes
9,   8:30 pm  EDT,/ASP/res_a.asp?tg=53&classId=5391&classDate=3/14/2023&clsLoc=1,Beg Vogue (Online),Omari Wiles,none,none,none, 1 hour & 30 minutes
