Cumbe Dance Center,1:30pm,Dunham Jazz Informed Technique All Levels,Candice Michelle Franklin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4060&classDate=8/13/2023&clsLoc=1
Peridance,11:30am,Int Contemp,Vive _,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4852&classDate=8/13/2023&clsLoc=1
PMT House of Dance,1:00pm,Beg Contemp,Kaitlyn Dee Snyder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3518&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,9:00am,Beg Lyrical,Emily Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17735&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,1:00pm,Int Contemp Fusion,Jenifer Dillow (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17627&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,3:00pm,Int Contemp,Ali Koinoglou,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17865&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,4:15pm,Int Adv Contemp Fusion,Waverly Fredericks (9),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16881&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,5:45pm,Adv Beg Contemp,Gina Menichino,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17683&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,11:30am,Adv Beg Contemp Jazz,Ginger Cox,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17763&classDate=8/13/2023&clsLoc=1
Gibney 280,10:00am,Adult Open Contemp At 280,Phoebe Ballard,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12885&classDate=8/13/2023&clsLoc=1
Gibney 280,12:00pm,Contemp/Simonson,Diane McCarthy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12657&classDate=8/13/2023&clsLoc=1
Ailey Studios,1:30pm,Beg Horton,Linda Celeste Sims,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823684&classDate=8/13/2023&clsLoc=1
Ailey Studios,1:00pm,Modern Afro-Cuban,Cancelled Today,none
Ailey Studios,2:00pm,Beg Contemp,Shaina McGregor,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823671&classDate=8/13/2023&clsLoc=1
Steps on Broadway,12:15pm,Int Contemp Jazz,Blandino,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086991&classDate=8/13/2023&clsLoc=1
Steps on Broadway,3:00pm,Adv/Beg Contemp Modern,"Reed, B.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085642&classDate=8/13/2023&clsLoc=1
