BAE,09:00:00,Adv Beg Ballet,Julia Dubno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7843&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,09:00:00,Beg Ballet,Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080412&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,09:30:00,Intro To Ballet,William Waldinger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7797&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,09:30:00,Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7833&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Lawrence (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087058&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,10:00:00,Adv/Int Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087059&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Mark Morris,10:00:00,Beg Ballet,Tristan Grannum,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5121&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Gibney 280,10:00:00,Int/Adv Ballet,Kara Chan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12531&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Peridance,10:00:00,Adv Ballet,Shimon Ito (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,10:00:00,Ballet Workout,Stephan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085502&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BDC,10:30:00,Beg Ballet,Michele Moreno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17519&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,10:45:00,Adv/Beg Ballet,Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080413&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,11:00:00,Basic Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7822&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2286&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Peridance,11:30:00,Beg Ballet,Martha Chapman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5364&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087003&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17539&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1115&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Peridance,13:00:00,Int Ballet,Gabrielle Lamb,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BDC,13:30:00,Basic Ballet,Joy Karley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17563&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,14:15:00,Int Ballet,Froman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084303&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ballet Arts,14:30:00,Adv Beg Ballet,Kate Loh,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2276&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BDC,15:00:00,Adv Beg Ballet,Josh Kolberg (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17577&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ballet Arts,16:00:00,Int Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2303&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BDC,16:30:00,Beg Ballet,Dorit Koppel,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17083&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Steps,16:45:00,Adv/Int Ballet,Tuttle (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087062&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Peridance,17:30:00,Beg Ballet,Greg Zane,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6221&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Gibney 280,18:00:00,Beg Ballez,MJ Markovitz,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12535&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ailey,18:00:00,Beg Ballet,Mikhail Ilyin (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823666&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,18:00:00,Int Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7871&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,18:30:00,Adv Beg Ballet,Ashley Talluto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7844&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
BAE,19:00:00,Basic Beg Ballet,Cornel Crabtree,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7823&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Ballet Arts,19:00:00,Open Level Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2363&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
Mark Morris,19:00:00,Beg Ballet,Kelly Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=8/14/2023&clsLoc=1,2023-08-14,Ballet
