Peridance,10:00:00,Open Simonson Jazz,Leann Gioia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5871&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,11:15:00,Adv/Beg Jazz,Lobel (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085493&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
BDC,13:00:00,Beg Jazz,Sheila Barker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17980&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,13:30:00,Int Jazz,Kimelman (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087065&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
BDC,14:30:00,Int Adv Jazz,Debbie Roshe,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17572&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,14:45:00,Beg Jazz,Stanfield (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085495&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,15:00:00,Int Jazz,"Lombardi, J. (8)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087066&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,18:15:00,Adv/Int Jazz,Diniz (9),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087129&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
Steps,19:00:00,Adv/Beg Jazz,"Frazier, R. (10)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087068&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
BDC,19:30:00,All Levels Burlesque Jazz,Tony Guerrero,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17620&classDate=8/14/2023&clsLoc=1,2023-08-14,Jazz
