Studio,Start time,Classes,Instructor,Sign up
Gibney 280,10:00:00,Ballet,Gilbert T Small II,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12556&classDate=8/15/2023&clsLoc=1
Gibney 280,10:00:00,Contemp Forms,Claudia Rightmire,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12828&classDate=8/15/2023&clsLoc=1
Gibney 280,10:00:00,Contemp Dynamic Sequencing,Cancelled Today,none
Gibney 280,12:00:00,Contemp Floorwork At 280,Emmy Wildermuth,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12864&classDate=8/15/2023&clsLoc=1
Gibney 280,12:00:00,Contemp Practice,Hollis Bartlett & Nattie Trogdon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12561&classDate=8/15/2023&clsLoc=1
Gibney 280,12:00:00,Pro Ballez,Katy Pyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12562&classDate=8/15/2023&clsLoc=1
Gibney 280,14:00:00,Int/Adv Contemp/Simonson,Laurie DeVito,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12563&classDate=8/15/2023&clsLoc=1
Gibney 280,18:00:00,Contemp Release,Wesley Ensminger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12877&classDate=8/15/2023&clsLoc=1
Gibney 280,18:30:00,Int/Adv Beg Ballet,Kat Wildish,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12568&classDate=8/15/2023&clsLoc=1
Gibney 280,18:45:00,Gaga/Dancers At 280,Rotating Gaga Teachers,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12791&classDate=8/15/2023&clsLoc=1
