Gramercy,07:00:00,Open Level Dance Cardio,Sarah,unavailable,2023-08-23,Additional Disciplines
Mark Morris,09:30:00,Open Level Pilates,Cristina *Baretta (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=3545&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Steps,10:00:00,Open Pilates,Ross,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086082&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Gibney 280,10:30:00,Bartenieff Fundamentals At 280,Alexandra Beller,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12574&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BDC,12:00:00,All Levels Pilates,Joy Karley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17566&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Gibney 280,12:30:00,Movement Research At 280,Antonio Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12687&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Gibney 280,14:00:00,Movement Research At 280,Fabio Tavares,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12679&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BDC,14:30:00,Beg Jumps And Turns,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17556&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BDC,15:00:00,All Levels Acro,Sissa Strain,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17889&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Gibney 280,16:00:00,Emergent Improvisation,Troy Ogilvie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12586&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Steps,16:00:00,Alignment Floor Work,Moretton,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086930&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BDC,16:00:00,All Levels Dance Team Prep,Kristen Greto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18183&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BDC,16:30:00,All Levels Voice,Canceled Today,none,2023-08-23,Additional Disciplines
PMT,18:00:00,Open Level Floorwork,Mack Pereira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3495&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
BAE,18:00:00,Mat Pilates Class,Ashley Carter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7863&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
ILD Queens,18:00:00,Eta | New Jeans Part 4,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8220&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Mark Morris,18:00:00,Open Level Pilates,Lesley Garrison MMDG Dancer,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=4935&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
ILD NJ,18:00:00,In Bloom | Zb1 Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8215&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
ILD NYC,18:30:00,Seven | Jung Kook Part 4,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8187&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
Ailey,18:30:00,Zumba Fitness,Mike Gomez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823710&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
SassClass,19:10:00,Popstar Style,Mary,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=711&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
ILD Queens,19:30:00,Shhh | Kiss Of Life Part 4,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8258&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
ILD NJ,19:30:00,Super Shy | Newjeans Part 4,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8206&classDate=8/23/2023&clsLoc=1,2023-08-23,Additional Disciplines
