Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Adv Beg Ballet,Luis Villar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17632&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Peridance,09:00:00,Open Ballet,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6184&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BAE,09:00:00,Basic Beg Ballet,Julie Voshell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7827&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,09:00:00,Int Ballet,Tyner-Bryan (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147082816&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7849&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
ILD NJ,09:30:00,Kpop Diet Dance,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=6771&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Steps,09:45:00,Int/Adv Pro Ballet,"Edge, A. (2)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086997&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,10:00:00,Beg Hip-Hop,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17635&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Gibney 280,10:00:00,Ballet,Brian Lawson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12590&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,10:00:00,Adv Beg Theater,Jason Wise,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17637&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Ballet Arts,10:00:00,Open Level Ballet,Benjamin Bowman (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2372&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Mark Morris,10:00:00,Adv Ballet,Kelly Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=3582&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,10:00:00,Adv Pro Ballet,Beloserkovsky,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087080&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Peridance,10:00:00,Adv Contemp Floorwork,Dual Rivet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6312&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Peridance,10:00:00,Adv Ballet,Victoria Vargas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6326&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,10:00:00,Int Tap,Avital Asuleen (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17758&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
BDC,10:00:00,Adv Beg Contemp,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17555&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Gibney 280,10:00:00,Contemp Release,Maggie Joy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12588&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Peridance,10:30:00,Open Pointe,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6301&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,10:30:00,Rommett Floor Barre,Wesley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087081&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,10:30:00,Beg Ballet,Canceled Today,none,2023-08-24,Ballet
BDC,10:30:00,Beg Jumps And Turns,Danie Kurzman (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17759&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
