Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12871&classDate=8/30/2023&clsLoc=1,Contemporary at 280,Jesse Obremski,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,10:00 am  EDT,none,Contemporary with Marion Spencer at 280,Cancelled Today,none,1 hour & 45 minutes
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12573&classDate=8/30/2023&clsLoc=1,Pro Level Ballet with Aaron Loux at 890,Aaron Loux,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12574&classDate=8/30/2023&clsLoc=1,Bartenieff Fundamentals at 280,Curtis Stedge,Gibney 280: Studio U,1 hour & 30 minutes
Gibney,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12575&classDate=8/30/2023&clsLoc=1,Simonson Jazz with Leann Gioia at 280,Leann Gioia,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12687&classDate=8/30/2023&clsLoc=1,Feldenkrais®: Movement Research at 280,Antonio Ramos,Gibney 280: Studio B,1 hour & 30 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12886&classDate=8/30/2023&clsLoc=1,Alexander Technique: Movement Research at 280,Kari Ostensen,Gibney 280: Studio B,1 hour & 45 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12581&classDate=8/30/2023&clsLoc=1,Contemporary Floorwork with Dual Rivet at 280,Dual Rivet,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12586&classDate=8/30/2023&clsLoc=1,Emergent Improvisation with Troy Ogilvie at 280 (MASKS REQUIRED),Troy Ogilvie,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12872&classDate=8/30/2023&clsLoc=1,Beginner Contemporary Dance,Félix Cruz,Gibney 280: Studio E,1 hour & 45 minutes
Gibney,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12583&classDate=8/30/2023&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12582&classDate=8/30/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
