BDC,10:00:00,Beg Hip-Hop,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17634&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
BDC,11:30:00,Beg House,Natasha Markwick (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17503&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Steps,11:45:00,Adv/Int Jazz Fusion,Wendle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087806&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Peridance,13:00:00,Adv Choreo,James Kho (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6738&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Peridance,14:30:00,Beg House Drills | Moptop,Cebo Carr,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6771&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
BDC,14:30:00,Int Adv Hip-Hop,Deshawn Da Prince,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17678&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Brickhouse,15:00:00,Street Jazz Adv. Beg/Int,Justin Desean,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7711&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
PJM,15:30:00,Vogue Femme Basics,Saki,none,2023-09-05,Street/Choreography
BDC,16:00:00,Adv Beg Street Jazz,Neil Schwartz,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17691&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Peridance,16:00:00,Open House,Brooklyn Terry (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5386&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Brickhouse,16:30:00,Hip Hop Adv. Beg/Int,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7712&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
PJM,17:00:00,Adv Beg Choreo,Rose Lu,none,2023-09-05,Street/Choreography
Peridance,17:30:00,Open Popping,Jazzy J (Boog Soulfire),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5507&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
BDC,17:45:00,Adv Beg Heels,Hector Lopez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17700&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
BDC,17:45:00,Int Adv Hip-Hop,David Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17585&classDate=9/5/2023&clsLoc=1,2023-09-05,Street/Choreography
Modega,18:30:00,All Levels Krump,Brian Hallow Dreamz,https://sutrapro.com/modega/checkout/7jdpZgA86I2wUxT0Ucv6,2023-09-05,Street/Choreography
Modega,18:30:00,Int./Adv. Choreo,Darien Van Rensalier,https://sutrapro.com/modega/checkout/eSkXGp5ux7dlqfIH1PeS,2023-09-05,Street/Choreography
