Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Peridance,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6736&classDate=9/6/2023&clsLoc=1,Open Yoga,Sarah Iguchi,Peridance Center,1 hour
Peridance,9:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6725&classDate=9/6/2023&clsLoc=1,Open Ballet,Greg Zane,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6795&classDate=9/6/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4301&classDate=9/6/2023&clsLoc=1,Inter Contemporary,Brandon Coleman,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5260&classDate=9/6/2023&clsLoc=1,Open Barre à Terre,Anabella Lenzu,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6796&classDate=9/6/2023&clsLoc=1,Adv Ballet,Caridad Martinez,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6721&classDate=9/6/2023&clsLoc=1,Beg Ballet,Martha Chapman,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5484&classDate=9/6/2023&clsLoc=1,Inter Broadway Jazz,Sue Samuels,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5509&classDate=9/6/2023&clsLoc=1,Inter Contemporary,Marijke Eliasberg,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6793&classDate=9/6/2023&clsLoc=1,Beg Horton,Katrina Perrin,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5418&classDate=9/6/2023&clsLoc=1,Inter Ballet,Billy Blanken,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6737&classDate=9/6/2023&clsLoc=1,Inter Choreography,James Kho,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6692&classDate=9/6/2023&clsLoc=1,Adv Contemporary Floorwork,Marija Obradovic,Peridance Center,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6342&classDate=9/6/2023&clsLoc=1,Inter Hip Hop,TweetBoogie _,Peridance Center,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5472&classDate=9/6/2023&clsLoc=1,Open Dancehall,Korie Genius,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6739&classDate=9/6/2023&clsLoc=1,Beg Popping,Sun Kim | SUN KIM DANCE THEATER,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5659&classDate=9/6/2023&clsLoc=1,Inter Choreography,Sam Javi,Peridance Center,1 hour & 30 minutes
Peridance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6667&classDate=9/6/2023&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,Peridance Center,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6741&classDate=9/6/2023&clsLoc=1,Inter Contemporary,Kristalyn Gill,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6669&classDate=9/6/2023&clsLoc=1,Adv Choreography,John John Tarrayo (1),Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6668&classDate=9/6/2023&clsLoc=1,Beg Contemporary Jazz,Patrick Garr (2),Peridance Center,1 hour & 30 minutes
Peridance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6670&classDate=9/6/2023&clsLoc=1,Inter Heels,Chris Ralph,Peridance Center,1 hour & 30 minutes
Peridance,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6671&classDate=9/6/2023&clsLoc=1,Open Afro-Cuban,La Mora Pérez | DJONIBA DANCE CENTRE,Peridance Center,1 hour & 30 minutes
