Peridance,09:00:00,Open Yoga,Sarah Iguchi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6736&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
Steps,10:00:00,Open Pilates,Ross,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086082&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
Gibney,10:30:00,Bartenieff Fundamentals At 280,Alexandra Beller,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12845&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BDC,12:00:00,All Levels Pilates,Joy Karley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17566&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
Gibney,12:30:00,Movement Research At 280,Tasha Taylor,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12846&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
PJM,12:30:00,Open Kpop Girl Groups,Joy,none,2023-09-06,Additional Disciplines
Gibney,14:00:00,Movement Research At 280,Alice MacDonald,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12938&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BDC,14:30:00,Beg Jumps And Turns,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17556&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BDC,15:00:00,All Levels Acro,Sissa Strain,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17889&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
Steps,16:00:00,Alignment Floor Work,Moretton,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086930&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BDC,16:30:00,All Levels Voice,Eric Fotre Leach,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17037&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8337&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BDC,18:00:00,All Levels Stretch And Conditioning,Anthony Garza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18293&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD NJ,18:00:00,Istj | Nct Dream Part 1,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8452&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
BAE,18:00:00,Mat Pilates Class,Courtney Conner (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7863&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD Queens,18:00:00,Killin Me Good | Jihyo Part 1,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8340&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
PMT,18:00:00,Open Level Floorwork,Mack Pereira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3495&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD NYC,18:30:00,Cream Soda | Exo Part 1,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8408&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
Ailey,18:30:00,Zumba Fitness,Mike Gomez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824638&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
SassClass,19:10:00,Popstar Style,Jahaira (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=711&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD Queens,19:30:00,Fast Forward | Somi Part 1,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8359&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
ILD NJ,19:30:00,Cake | Itzy Part 1,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8444&classDate=9/6/2023&clsLoc=1,2023-09-06,Additional Disciplines
