Studio,Start time,Classes,Instructor,Sign up
BDC,09:00:00,Beg Ballet,Ted Keener,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18372&classDate=9/13/2023&clsLoc=1
BDC,09:00:00,Itp Closed Class,ITP Master Class,none
BDC,10:30:00,Adv Beg Tap,Sydney Burtis (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18290&classDate=9/13/2023&clsLoc=1
BDC,10:30:00,Int Ballet,Deanna Doyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18231&classDate=9/13/2023&clsLoc=1
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18104&classDate=9/13/2023&clsLoc=1
BDC,12:00:00,Adv Beg Theater,Ian Klein,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18374&classDate=9/13/2023&clsLoc=1
BDC,12:00:00,Beg Theater Tap,Doug Shankman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18221&classDate=9/13/2023&clsLoc=1
BDC,13:30:00,Basic Hip-Hop,Geheny Rivera,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18207&classDate=9/13/2023&clsLoc=1
BDC,13:30:00,Beg Jumps And Turns,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18111&classDate=9/13/2023&clsLoc=1
BDC,13:30:00,Int Theater,Ross Thompson (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18102&classDate=9/13/2023&clsLoc=1
BDC,15:00:00,Adv Beg Tap,Brent McBeth,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18179&classDate=9/13/2023&clsLoc=1
BDC,15:00:00,Basic Ballet,Deanna Doyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18232&classDate=9/13/2023&clsLoc=1
BDC,16:30:00,All Levels Voice,Eric Fotre Leach,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18396&classDate=9/13/2023&clsLoc=1
BDC,16:30:00,Beg Hip-Hop,AntBoogie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18174&classDate=9/13/2023&clsLoc=1
BDC,16:30:00,Int Theater,Tanner Lane,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18383&classDate=9/13/2023&clsLoc=1
BDC,18:00:00,Adv Beg Tap,Mark Albrecht,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18333&classDate=9/13/2023&clsLoc=1
BDC,18:00:00,Int Adv Theater,Josh Assor,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18138&classDate=9/13/2023&clsLoc=1
BDC,19:30:00,Adv Beg Street Jazz/Hip-Hop,Carlos Neto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18218&classDate=9/13/2023&clsLoc=1
BDC,19:30:00,Basic Hip-Hop,Q,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18185&classDate=9/13/2023&clsLoc=1
BDC,19:30:00,Int Adv Tap,Gwen Potter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18330&classDate=9/13/2023&clsLoc=1
BDC,21:00:00,Adv Contemp Fusion,Marinda Davis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18276&classDate=9/13/2023&clsLoc=1
BDC,09:00:00,Beg Lyrical,Emily Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18157&classDate=9/13/2023&clsLoc=1
BDC,10:30:00,Adv Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18328&classDate=9/13/2023&clsLoc=1
BDC,10:30:00,Basic Theater,Lauren Cagnetta (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18150&classDate=9/13/2023&clsLoc=1
BDC,11:00:00,Ed Dept Company Ballet,ProSem Master,none
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18084&classDate=9/13/2023&clsLoc=1
BDC,12:00:00,Beg Jazz Funk,Chio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18160&classDate=9/13/2023&clsLoc=1
BDC,12:30:00,Ed Dept Company Ballet,ProSem Master,none
BDC,13:30:00,Basic Tap,Avital Asuleen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18280&classDate=9/13/2023&clsLoc=1
BDC,13:30:00,Int Contemp,Emily Greenwell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18254&classDate=9/13/2023&clsLoc=1
BDC,15:00:00,Adv Beg Jazz,Sheila Barker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18140&classDate=9/13/2023&clsLoc=1
BDC,15:00:00,Adv Beg Theater,Jason Wise,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18199&classDate=9/13/2023&clsLoc=1
BDC,15:00:00,Int Street Jazz,Bo Park,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18285&classDate=9/13/2023&clsLoc=1
BDC,16:30:00,Beg Ballet,Dorit Koppel,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18088&classDate=9/13/2023&clsLoc=1
BDC,16:30:00,Int Tap,Ray Hesselink,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18119&classDate=9/13/2023&clsLoc=1
