Studio,Start time,Classes,Instructor,Sign up
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7972&classDate=9/26/2023&clsLoc=1
BAE,10:00:00,Basic Beg Ballet,Selina Chau,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7942&classDate=9/26/2023&clsLoc=1
BAE,10:00:00,Mat Pilates Class,Ashley Carter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7905&classDate=9/26/2023&clsLoc=1
BAE,11:30:00,Int Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7992&classDate=9/26/2023&clsLoc=1
BAE,11:30:00,Intro To Ballet,Julie Voshell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7928&classDate=9/26/2023&clsLoc=1
BAE,12:00:00,Beg Ballet,Justin Sherwood,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7956&classDate=9/26/2023&clsLoc=1
BAE,18:00:00,Adv Beg Ballet,Sean Kelly,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7973&classDate=9/26/2023&clsLoc=1
BAE,19:00:00,Int Ballet,Stephanie Rae Williams (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7993&classDate=9/26/2023&clsLoc=1
BAE,19:15:00,Intro To Ballet,Hope Ruth,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7929&classDate=9/26/2023&clsLoc=1
BAE,19:30:00,Basic Beg Ballet,Ashley Talluto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7943&classDate=9/26/2023&clsLoc=1
BAE,19:30:00,Beg Ballet,Sean Kelly,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7957&classDate=9/26/2023&clsLoc=1
