0,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
1,   10:00 am  EDT,/ASP/res_a.asp?tg=12&classId=2146823272&classDate=3/14/2023&clsLoc=1,IN-STUDIO Adv Beg Ballet,Rhea Roderick (1),Studio 1B, 1 hour & 30 minutes
2,   6:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822767&classDate=3/14/2023&clsLoc=1,IN-STUDIO Beginner Salsa,Baila Society,Studio LLC, 1 hour
3,   6:30 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822765&classDate=3/14/2023&clsLoc=1,IN-STUDIO Beginner Jazz,Jeffrey Bynum,Studio 2B, 1 hour & 30 minutes
4,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822752&classDate=3/14/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Christopher Jackson,Studio 2A, 1 hour & 30 minutes
5,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822779&classDate=3/14/2023&clsLoc=1,IN-STUDIO Open Samba,Quenia Ribeiro,Studio 5B, 1 hour & 30 minutes
6,   6:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822746&classDate=3/14/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 5D, 1 hour & 30 minutes
7,   6:30 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822741&classDate=3/14/2023&clsLoc=1,IN-STUDIO Afro-Cuban Folkloric,LA MORA,Studio 1A, 1 hour & 30 minutes
8,   6:30 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822786&classDate=3/14/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1B, 1 hour
9,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822759&classDate=3/14/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C, 1 hour
10,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822782&classDate=3/14/2023&clsLoc=1,IN-STUDIO Vogue Fem,Luz Theodyssey,Studio 5C, 1 hour & 30 minutes
