0,Start time,Sign up,Classes,Teacher,Studio,Duration
1,9:30 am  EDT,/ASP/res_a.asp?tg=22&classId=17003&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio A,1 hour & 30 minutes
2,9:30 am  EDT,/ASP/res_a.asp?tg=48&classId=17101&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beg BALLET with Jamie Salmon,Jamie Salmon,LS ST-1,1 hour & 30 minutes
3,11:15 am  EDT,/ASP/res_a.asp?tg=22&classId=17001&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour & 30 minutes
4,11:15 am  EDT,/ASP/res_a.asp?tg=22&classId=17320&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Studio A,1 hour & 30 minutes
5,11:15 am  EDT,/ASP/res_a.asp?tg=48&classId=17102&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,LS ST-A,1 hour & 30 minutes
6,11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=17078&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int Adv THEATER JAZZ with Chip Abbott,Elyn Collier (1),Studio 5,1 hour & 30 minutes
7,1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16999&classDate=3/14/2023&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour & 30 minutes
8,1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17070&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int TAP with Gwen Potter,Gwen Potter,Studio B,1 hour & 30 minutes
9,1:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17064&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour & 30 minutes
10,1:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17061&classDate=3/14/2023&clsLoc=1,IN-PERSON: YOGA AND MEDITATION with Elyse Niederee,Brittni Bryant (2),Studio 2,1 hour & 30 minutes
11,2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=17068&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Gina Menichino,Gina Menichino,Studio A,1 hour & 30 minutes
12,2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=17080&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int SNEAKER JAZZ with Elly Shepley,Elly Shepley,Studio 4,1 hour & 30 minutes
13,3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16717&classDate=3/14/2023&clsLoc=1,IN-PERSON: All Levels LASTICS STRETCH TECHNIQUE with Donna Flagg,Donna Flagg,Studio 2,1 hour & 15 minutes
14,3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17269&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int COMMERCIAL THEATER JAZZ with Dylan Pearce,Dylan Pearce,Studio 5,1 hour & 30 minutes
15,4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17075&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Neil Schwartz,Neil Schwartz,Studio 5,1 hour & 30 minutes
16,4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17072&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg TAP with Brent McBeth,Brent McBeth,Studio B,1 hour & 30 minutes
17,4:30 pm  EDT,/ASP/res_a.asp?tg=48&classId=17105&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beg TAP with Brent McBeth,Brent McBeth,LS ST-B,1 hour & 30 minutes
18,6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=16656&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Ray Hesselink,Rashaan James (4),Studio B,1 hour & 30 minutes
19,6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17074&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg STREET JAZZ with Carlos Neto,Carlos Neto,Studio 5,1 hour & 30 minutes
20,6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17317&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int THEATER with Marjorie Failoni,Marjorie Failoni,Studio A,1 hour & 30 minutes
21,6:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17059&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg COMMERCIAL JAZZ with Debbie Wilson,Ross Thompson (5),Studio 3,1 hour & 30 minutes
22,8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17056&classDate=3/14/2023&clsLoc=1,IN-PERSON: All Levels AFRO DANCE CLASS with Judith McCarty,Judith McCarty,Studio 2,1 hour & 30 minutes
