0,Start time,Sign up,Sessions,Teacher,Studio,Duration
1,   10:00 am  EDT,/ASP/res_a.asp?tg=54&classId=12410&classDate=3/14/2023&clsLoc=1,Advanced Ballet with Nicholas Korkos at 890,Nicholas Korkos,Gibney 890: Studio 5-2, 1 hour & 30 minutes
2,   10:00 am  EDT,/ASP/res_a.asp?tg=52&classId=12235&classDate=3/14/2023&clsLoc=1,Contemporary: Dynamic Sequencing with Adam Barruch at 280,Adam Barruch,Gibney 280: Studio V, 1 hour & 45 minutes
3,   10:00 am  EDT,/ASP/res_a.asp?tg=52&classId=12234&classDate=3/14/2023&clsLoc=1,Countertechnique with Francesca Dominguez at 280,Francesca Dominguez,Gibney 280: Studio C, 1 hour & 45 minutes
4,   12:00 pm  EDT,/ASP/res_a.asp?tg=52&classId=12252&classDate=3/14/2023&clsLoc=1,Contemporary at 280,Wendell Gray,Gibney 280: Studio V, 1 hour & 45 minutes
5,   12:00 pm  EDT,/ASP/res_a.asp?tg=52&classId=12386&classDate=3/14/2023&clsLoc=1,Contemporary Forms with Nicole von Arx at 280,Nicole von Arx,Gibney 280: Studio C, 1 hour & 45 minutes
6,   12:00 pm  EDT,/ASP/res_a.asp?tg=54&classId=12239&classDate=3/14/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2, 1 hour & 45 minutes
7,   2:00 pm  EDT,/ASP/res_a.asp?tg=52&classId=12242&classDate=3/14/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C, 1 hour & 45 minutes
8,   2:00 pm  EDT,/ASP/res_a.asp?tg=59&classId=12243&classDate=3/14/2023&clsLoc=1,Pilates Mat Class for Dancers: Movement Research at 280,Johanna S. Meyer,Gibney 280: Studio B, 1 hour & 15 minutes
9,   6:00 pm  EDT,/ASP/res_a.asp?tg=52&classId=12244&classDate=3/14/2023&clsLoc=1,Contemporary Release with Wesley Ensminger at 280,Wesley Ensminger,Gibney 280: Studio C, 1 hour & 45 minutes
10,   6:00 pm  EDT,/ASP/res_a.asp?tg=52&classId=12245&classDate=3/14/2023&clsLoc=1,House Fusion with Khadijah Siferllah at 280,Khadijah Siferllah,Gibney 280: Studio D, 1 hour & 45 minutes
11,   6:30 pm  EDT,/ASP/res_a.asp?tg=54&classId=12246&classDate=3/14/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2, 1 hour
12,   6:45 pm  EDT,/ASP/res_a.asp?tg=52&classId=12396&classDate=3/14/2023&clsLoc=1,Gaga/dancers at 280,Doron Perk,Gibney 280: Studio U, 1 hour & 15 minutes
