0,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
1,10:00 am  EDT,/ASP/res_a.asp?tg=23&classId=4990&classDate=3/14/2023&clsLoc=1,Advanced Ballet,Sam Black *MMDG Co. Director (Mask Optional),none,Howard Britz,2 hours
2,"12:00 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=114&classId=3572&classDate=3/14/2023&clsLoc=1,(Online) Beginner Modern,Claudia McDonald (Mask Optional),none,none,1 hour & 30 minutes
3,12:00 pm  EDT,/ASP/res_a.asp?tg=28&classId=4613&classDate=3/14/2023&clsLoc=1,Beginner Modern,Claudia McDonald (Mask Optional),none,Colleen *Jones,1 hour & 30 minutes
4,"6:30 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=114&classId=4971&classDate=3/14/2023&clsLoc=1,(Online) Intermediate Modern,Andrea Murillo (Mask Required),none,none,1 hour & 30 minutes
5,6:30 pm  EDT,/ASP/res_a.asp?tg=28&classId=4970&classDate=3/14/2023&clsLoc=1,Intermediate Modern,Andrea Murillo (Mask Required),none,Andreas Brade,1 hour & 30 minutes
6,"7:00 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=114&classId=5248&classDate=3/14/2023&clsLoc=1,(Online) Intermediate Ballet,Ashley Tuttle (Masks Optional),none,none,1 hour & 30 minutes
7,7:00 pm  EDT,/ASP/res_a.asp?tg=27&classId=5160&classDate=3/14/2023&clsLoc=1,Beginner Jazz,Talia *Putrino (4),none,none,1 hour & 30 minutes
8,7:00 pm  EDT,none,Classical Indian,Cancelled Today,none,Greg Gonzalez,1 hour
9,7:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=4929&classDate=3/14/2023&clsLoc=1,Intermediate Ballet,Ashley Tuttle (Masks Optional),none,Colleen *Jones,1 hour & 30 minutes
10,7:00 pm  EDT,/ASP/res_a.asp?tg=27&classId=5183&classDate=3/14/2023&clsLoc=1,Open Level House,Kim Holmes (Mask Optional),none,none,1 hour & 30 minutes
