0,Start time,Sign up,Classes,Teacher,Duration
1,   5:00 pm  EDT,/ASP/res_a.asp?tg=59&classId=3378&classDate=3/14/2023&clsLoc=1,IN PERSON: Adv. Beg. Contemporary,Alex Biegelson, 1 hour & 30 minutes
2,   5:00 pm  EDT,/ASP/res_a.asp?tg=59&classId=3379&classDate=3/14/2023&clsLoc=1,IN PERSON: Intermediate Hip Hop Choreo,Shoshanna Babitt, 1 hour & 30 minutes
3,"   5:00 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3423&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Adv. Beg. Contemporary,Alex Biegelson, 1 hour & 30 minutes
4,"   5:00 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3424&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Intermediate Hip Hop Choreo,Shoshanna Babitt, 1 hour & 30 minutes
5,   6:35 pm  EDT,/ASP/res_a.asp?tg=59&classId=3380&classDate=3/14/2023&clsLoc=1,IN PERSON: Beginner Jazz,Mica Butnar, 1 hour & 30 minutes
6,   6:35 pm  EDT,/ASP/res_a.asp?tg=59&classId=3381&classDate=3/14/2023&clsLoc=1,IN PERSON: Open Popping,Jon Lock, 1 hour & 30 minutes
7,"   6:35 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3425&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beginner Jazz,Mica Butnar, 1 hour & 30 minutes
8,"   6:35 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3426&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Open Popping,Jon Lock, 1 hour & 30 minutes
9,   8:10 pm  EDT,/ASP/res_a.asp?tg=59&classId=3487&classDate=3/14/2023&clsLoc=1,IN PERSON: Intro to Hip Hop,Devynn Brooks, 1 hour & 30 minutes
10,   8:10 pm  EDT,/ASP/res_a.asp?tg=59&classId=3383&classDate=3/14/2023&clsLoc=1,IN PERSON: Open Waacking,Giorgia Vitali, 1 hour & 30 minutes
11,"   8:10 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3488&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Intro to Hip Hop,Devynn Brooks, 1 hour & 30 minutes
12,"   8:10 pm  EDT
    LIVE STREAM",/ASP/res_a.asp?tg=58&classId=3428&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Open Waacking,Giorgia Vitali, 1 hour & 30 minutes
