0,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
1,   10:00 am  EST,/ASP/res_a.asp?tg=12&classId=2146822737&classDate=3/11/2023&clsLoc=1,IN-STUDIO Abs Beginner Ballet,Dawn Hillen,Studio 6B, 1 hour
2,   11:30 am  EST,/ASP/res_a.asp?tg=12&classId=2146822784&classDate=3/11/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo (1),Studio 6B, 1 hour
3,   1:30 pm  EST,none,IN-STUDIO Open Contemporary,Cancelled Today,, 1 hour & 30 minutes
4,   2:30 pm  EST,/ASP/res_a.asp?tg=12&classId=2146822766&classDate=3/11/2023&clsLoc=1,IN-STUDIO Beginner Limón,Becky Brown,Studio 1B, 1 hour & 15 minutes
5,   3:00 pm  EST,/ASP/res_a.asp?tg=12&classId=2146822775&classDate=3/11/2023&clsLoc=1,IN-STUDIO NY Style Mambo,Katherine Jimenez,Studio LLC, 1 hour & 30 minutes
6,   10:30 am  EST,/ASP/res_a.asp?tg=12&classId=2146822772&classDate=3/11/2023&clsLoc=1,IN-STUDIO Masala Bhangra,Sarina Jain,Studio 6C, 1 hour
7,   12:00 pm  EST,/ASP/res_a.asp?tg=12&classId=2146822763&classDate=3/11/2023&clsLoc=1,IN-STUDIO Beginner Horton,Cheryl Rowley-Gaskins,Studio 1C, 1 hour & 30 minutes
8,   2:30 pm  EST,/ASP/res_a.asp?tg=12&classId=2146822758&classDate=3/11/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C, 1 hour
9,   3:00 pm  EST,/ASP/res_a.asp?tg=12&classId=2146822744&classDate=3/11/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 2B, 1 hour & 30 minutes
