Broadway Dance Center,11:30am,Int Adv Theater,Karla Puno Garcia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17817&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,2:30pm,Int Theater,Sarah Juliet Shaw (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17531&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,10:00am,Adv Beg Broadway Jazz,Chrisy Kakurai (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17657&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,10:00am,Beg Theater,Melodye Redding (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17512&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,11:30am,Beg Theater Tap,Madison Hilligoss (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17666&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,4:30pm,Basic Theater,Melodye Redding,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17945&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,6:00pm,Beg Theater,Melodye Redding (12),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16607&classDate=8/13/2023&clsLoc=1
Steps on Broadway,3:30pm,Adv/Int Classic Theater Jazz,Moore,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087305&classDate=8/13/2023&clsLoc=1
Steps on Broadway,4:15pm,Int/Adv Theater Jazz,Harmon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147087651&classDate=8/13/2023&clsLoc=1
Steps on Broadway,4:30pm,Int Broadway Tap,Gardner (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085647&classDate=8/13/2023&clsLoc=1
Steps on Broadway,12:45pm,Int Theater Jazz,Resavy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087055&classDate=8/13/2023&clsLoc=1
Steps on Broadway,2:00pm,Adv/Beg Theater Jazz,Biagini,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087056&classDate=8/13/2023&clsLoc=1
Steps on Broadway,4:30pm,Int Theater Jazz,"Wilson, Debbie",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087348&classDate=8/13/2023&clsLoc=1
