Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Peridance,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6183&classDate=8/22/2023&clsLoc=1,Open Ballet,Kathy Sullivan,none,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6325&classDate=8/22/2023&clsLoc=1,Adv Ballet,Victoria Vargas,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6182&classDate=8/22/2023&clsLoc=1,Inter Contemporary Release,Shane Larson (1),Peridance Center,1 hour & 30 minutes
Peridance,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6196&classDate=8/22/2023&clsLoc=1,Open Pointe,Kathy Sullivan,none,30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5374&classDate=8/22/2023&clsLoc=1,Beg Ballet,Yuka Kawazu,none,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5503&classDate=8/22/2023&clsLoc=1,Inter Contemporary,Vive _ (2),Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5466&classDate=8/22/2023&clsLoc=1,Open Gyrokinesis®,Margot Gelber (3),none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6185&classDate=8/22/2023&clsLoc=1,Inter Ballet,Kate Loh,none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5468&classDate=8/22/2023&clsLoc=1,Inter Choreography,Eric Delgado,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5434&classDate=8/22/2023&clsLoc=1,Inter Contemporary,Guest Artist (4),none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5524&classDate=8/22/2023&clsLoc=1,Adv Contemporary,Chris Ralph,none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6232&classDate=8/22/2023&clsLoc=1,Beg Graham,Cara McManus (5),none,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6195&classDate=8/22/2023&clsLoc=1,Open Yoga,Sarah Iguchi,none,1 hour
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6404&classDate=8/22/2023&clsLoc=1,Open Ballet,Dianna Warren,none,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5386&classDate=8/22/2023&clsLoc=1,Open House,Sekou Heru,none,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6436&classDate=8/22/2023&clsLoc=1,Beg Contemporary Jazz,Patrick Garr (6),Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5507&classDate=8/22/2023&clsLoc=1,Open Popping,Jazzy J (Boog Soulfire),none,1 hour & 30 minutes
Peridance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6268&classDate=8/22/2023&clsLoc=1,Beg Ballet,Julia Gleich,none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5394&classDate=8/22/2023&clsLoc=1,Adv Choreography,Ayumu Imazu (7),none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6242&classDate=8/22/2023&clsLoc=1,Adv Contemporary,Alex Anderson,none,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5392&classDate=8/22/2023&clsLoc=1,Beg Vogue,Omari Wiles,none,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5538&classDate=8/22/2023&clsLoc=1,Open Litefeet,Chrybaby Cozie,none,1 hour & 30 minutes
