PMT,15:00:00,Open Reggaeton,David Machicado,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3384&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Peridance,16:00:00,Open Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5472&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Peridance,18:00:00,Beg African,Djoniba Mouflet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6204&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Cumbe,18:30:00,Congolese Dance And Drum All Levels,Andoche Loubaki,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3995&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Mark Morris,18:30:00,Int West African,Mouminatou *Camara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3162&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Cumbe,19:30:00,Afro-Brazilian And Samba All Levels,Quenia Ribeiro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3997&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Peridance,19:30:00,Open Afro-Cuban,La Mora Pérez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6205&classDate=8/23/2023&clsLoc=1,2023-08-23,World
BDC,19:30:00,Basic Afro'Dance,Regine Bellinger (12),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17753&classDate=8/23/2023&clsLoc=1,2023-08-23,World
SassClass,20:30:00,Reggaeton,David,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=429&classDate=8/23/2023&clsLoc=1,2023-08-23,World
Gramercy,20:30:00,Open Level Reggaeton,Mota,unavailable,2023-08-23,World
BDC,20:45:00,Beg Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17757&classDate=8/23/2023&clsLoc=1,2023-08-23,World
