Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082818&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Ballet,Cave,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083045&classDate=9/19/2023&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,Freemantle (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083046&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv Pro Ballet,Beloserkovsky,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082346&classDate=9/19/2023&clsLoc=1,Virtual 90 Rommett Floor Barre,Wesley,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084562&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Beg Ballet,Kemezis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083038&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv Pro Ballet,Bielski,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083048&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Ballet,Hara,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087172&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Ballet,"Edge, A.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085313&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Int Ballet,Averty (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083050&classDate=9/19/2023&clsLoc=1,Virtual 90 Beg/Int Ballet,Hara (3),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087999&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Contemporary,Minutoli,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087989&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Int Contemporary,Chu,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087807&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Int Jazz Fusion,Wendle,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084788&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Int Jazz,Roshe,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087205&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Jazz,Ciulla,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087545&classDate=9/19/2023&clsLoc=1,Virtual Spotlight: Adv/Int Jazz,Will B. Bell,Steps on Broadway,2 hours
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083820&classDate=9/19/2023&clsLoc=1,Virtual 90 Open Street Styles,"Smith, C.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085382&classDate=9/19/2023&clsLoc=1,Virtual 90 Open Heels,Sauls,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147083133&classDate=9/19/2023&clsLoc=1,Virtual 60 Pilates Mat,Cummings,Steps on Broadway,1 hour
Steps on Broadway,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147084480&classDate=9/19/2023&clsLoc=1,Virtual 60 Cardio Dance,Ashleigh,Steps on Broadway,1 hour
Steps on Broadway,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147087339&classDate=9/19/2023&clsLoc=1,Virtual 60 Adv/Beg Swing,Weisbond,Steps on Broadway,1 hour
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084705&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Beg Broadway Tap,Black,Steps on Broadway,1 hour & 30 minutes
