Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Adv Beg Lyrical,Emily Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18155&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Ballet Arts,09:30:00,Adv Beg Ballet,Yumiko Niimi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2352&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Peridance,10:00:00,Open Ballet,Bivi Kimura,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=4873&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Peridance,10:00:00,Beg Graham,Cara McManus,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6759&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BAE,10:00:00,Adv Beg Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7983&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Gibney,10:00:00,Adult Open Contemp,Leah Wilks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12838&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Ailey,10:00:00,Beg Ballet,Anna Lederfeind,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824587&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Ailey,10:00:00,Zumba Fitness,Jose Ozuna,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824634&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
Cumbe,10:30:00,Belly Dancing All Levels,Jaida,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4122&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
Steps,10:30:00,Adv Ballet,Averty,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087047&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
