Studio,Start time,Sign up,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:00 am  EDT,none,Beg Ballet,Bivi Kimura,none,Peridance Center,1 hour & 30 minutes
Peridance,10:30 am  EDT,none,Beg Contemporary,Bo Kyung Lee,none,Peridance Center,1 hour & 30 minutes
Peridance,10:30 am  EDT,none,Inter Ballet,Graciela Kozak,Jonathan Rich,Peridance Center,1 hour & 30 minutes
Peridance,12:00 pm  EDT,none,Beg House,Huu Rock,none,Peridance Center,1 hour & 30 minutes
Peridance,12:00 pm  EDT,none,Inter Ballet,François Perron,none,Peridance Center,1 hour & 30 minutes
Peridance,12:00 pm  EDT,none,Intro & Beg Salsa Partnering,Baila Society,none,Peridance Center,1 hour & 30 minutes
Peridance,12:30 pm  EDT,none,Open Afrobeats,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour & 30 minutes
Peridance,1:30 pm  EDT,none,Inter Contemporary,Jana Hicks,none,Peridance Center,1 hour & 30 minutes
Peridance,1:30 pm  EDT,none,Inter Jazz,Danielle Diniz (1),none,Peridance Center,1 hour & 30 minutes
Peridance,1:30 pm  EDT,none,Intro & Beg Salsa Partnering,Baila Society,none,Peridance Center,1 hour & 30 minutes
Peridance,1:30 pm  EDT,none,Open Dancehall,Korie Genius,none,Peridance Center,1 hour & 30 minutes
Peridance,2:00 pm  EDT,none,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5427&classDate=10/14/2023&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,Peridance Center,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6269&classDate=10/14/2023&clsLoc=1,Beg Ballet,Julia Gleich,none,Peridance Center,1 hour & 30 minutes
Peridance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6758&classDate=10/14/2023&clsLoc=1,Inter Choreography,Bo Belza,none,Peridance Center,1 hour & 30 minutes
Peridance,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=5683&classDate=10/14/2023&clsLoc=1,Adv African,Maguette Camara | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour & 30 minutes
Peridance,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6773&classDate=10/14/2023&clsLoc=1,"""THE VOCAB!"" Street Style Choreography",Kia __ (2),none,Peridance Center,1 hour & 30 minutes
Peridance,4:30 pm  EDT,none,Open New Style Hustle,Cancelled Today,none,none,1 hour & 30 minutes
Peridance,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6313&classDate=10/14/2023&clsLoc=1,Open Brazilian Samba,Cecilia Lero | DDC,none,Peridance Center,1 hour & 30 minutes
