Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,IN-STUDIO Abs Beginner Ballet,Sean Kelly (1),Studio 1C,1 hour
Ailey Studios,11:15 am EST,none,IN-STUDIO Zumba Fitness,Carlos Chavez (2),Studio 1C,1 hour
Ailey Studios,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824732&classDate=11/25/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Yancy Greene (3),Studio 1C,1 hour &30 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825222&classDate=11/25/2023&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 1B,1 hour &30 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824718&classDate=11/25/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 1C,1 hour &30 minutes
Ailey Studios,10:00 am EST,none,IN-STUDIO Masala Bhangra,Sarina Jain,Studio 1A,1 hour
Ailey Studios,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824737&classDate=11/25/2023&clsLoc=1,IN-STUDIO Beginner Horton,Cheryl Rowley-Gaskins,Studio 1C,1 hour &30 minutes
Ailey Studios,2:30 pm EST,none,IN-STUDIO Beginner Limón,Cancelled Today,none,1 hour &15 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825461&classDate=11/25/2023&clsLoc=1,IN-STUDIO Adv Beg NY Style Mambo,Katherine Jimenez,Studio LLC,1 hour &30 minutes
Ailey Studios,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826454&classDate=11/25/2023&clsLoc=1,IN-STUDIO Vogue Basics,José Lapaz-Rodriguez,Studio 1A,1 hour &30 minutes
