BAE,08:00:00,Mat Pilates Class,Phoebe Higgins,none,2023-11-27,Additional Disciplines
Mark Morris,09:00:00,Gyrokinesis,Alexandra *Berger,none,2023-11-27,Additional Disciplines
BDC,09:15:00,All Levels Yoga And Meditation,Alyssa Click (2),none,2023-11-27,Additional Disciplines
Steps,09:15:00,Gyrokinesis,Thiesing,none,2023-11-27,Additional Disciplines
Peridance,09:30:00,Open Body Maintenance Training,Roukijah “NutellaK” Rooks,none,2023-11-27,Additional Disciplines
BAE,11:00:00,Mat Pilates Class,Vanessa Martínez de Baños,none,2023-11-27,Additional Disciplines
BDC,11:00:00,All Levels Pilates,Canceled Today,none,2023-11-27,Additional Disciplines
Peridance,11:30:00,Open Emergent Improvisation,Britta Joy Peterson (2),none,2023-11-27,Additional Disciplines
Steps,12:00:00,Pilates Mat,Shapiro (5),none,2023-11-27,Additional Disciplines
Peridance,12:00:00,Open Yoga,Jana Hicks,none,2023-11-27,Additional Disciplines
Gibney,12:00:00,Embodiment Through Dance Movement Therapy At 280,Cancelled Today,none,2023-11-27,Additional Disciplines
Peridance,13:00:00,Adv Perforce Groove,Kendrick Samuel,none,2023-11-27,Additional Disciplines
Peridance,13:00:00,Open Pilates,Yuki Hasegawa,none,2023-11-27,Additional Disciplines
Steps,13:30:00,Lastics Stretch,Cancelled Today,none,2023-11-27,Additional Disciplines
Gibney,14:00:00,Storytelling For Dancers At 280,Kelly Ashton Todd,none,2023-11-27,Additional Disciplines
Cre8ivity NJ,16:00:00,Pilates Conditioning & Stretch For Dancers Int And Up Ages 10+,Gianna Caridi,none,2023-11-27,Additional Disciplines
Gibney,16:00:00,Emergent Improvisation,Troy Ogilvie,none,2023-11-27,Additional Disciplines
BDC,16:30:00,Adv Beg Jumps And Turns,Ali Koinoglou,none,2023-11-27,Additional Disciplines
ILD Queens,17:45:00,Kids Kpop 8,Christina Ryu,none,2023-11-27,Additional Disciplines
ILD NJ,18:00:00,Puppet Show | Xg Part 4,Maylin Ramos,none,2023-11-27,Additional Disciplines
Steps,18:00:00,Open Level Yoga,Conway,none,2023-11-27,Additional Disciplines
SassClass,18:15:00,Sass Found 101,Brynlie,none,2023-11-27,Additional Disciplines
ILD NYC,18:30:00,3D | Jung Kook Part 4,Ying Dong,none,2023-11-27,Additional Disciplines
Ailey,18:30:00,Zumba Fitness,Carlos Chavez (1),none,2023-11-27,Additional Disciplines
Cumbe,18:30:00,Asa! Fitness W/ Jerijah All Levels,Jerijah West,none,2023-11-27,Additional Disciplines
ILD Queens,18:50:00,Perfect Night | Lesserafim Part 4,Eunice Shin,none,2023-11-27,Additional Disciplines
Mark Morris,19:00:00,Dance Church,Dance Church *Rotating Faculty,none,2023-11-27,Additional Disciplines
SassClass,19:30:00,Empowered Expression,Brynlie,none,2023-11-27,Additional Disciplines
ILD NJ,19:30:00,Perfect Night | Lesserafim Part 4,Min Seon Kim,none,2023-11-27,Additional Disciplines
BAE,19:45:00,Stretch & Strengthen,Julie Voshell,none,2023-11-27,Additional Disciplines
ILD NYC,20:00:00,Baddie | Ive Part 4,Winnie Chung,none,2023-11-27,Additional Disciplines
SassClass,20:40:00,Empowered Expression,Brynlie,none,2023-11-27,Additional Disciplines
