Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,11:00 am EST,none,IN-STUDIO Pilates Fusion,Cancelled Today,none,1 hour
Ailey Studios,1:00 pm EST,none,IN-STUDIO Modern Afro-Cuban,Noibis Licea,Studio 2B,1 hour &30 minutes
Ailey Studios,2:00 pm EST,none,IN-STUDIO Beginner Contemporary,Aurelie Garcia (2),Studio 1B,1 hour &30 minutes
Ailey Studios,3:00 pm EST,none,IN-STUDIO Afro'Dance,Angel Kaba,Studio 1A,1 hour &30 minutes
Ailey Studios,10:00 am EST,none,IN-STUDIO Zumba Fitness,Jenny Mollet (1),Studio 1A,1 hour
Ailey Studios,1:00 pm EST,none,IN-STUDIO Abs Beg Hip-Hop,Aaron Thomas,Studio 1A,1 hour &30 minutes
Ailey Studios,1:30 pm EST,none,IN-STUDIO Beginner Horton,Linda Celeste Sims,Studio 1C,1 hour &30 minutes
Ailey Studios,2:00 pm EST,none,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5D,1 hour &30 minutes
Ailey Studios,3:00 pm EST,none,IN-STUDIO Beginner West African,Vado Diomande,Studio 1C,1 hour &30 minutes
