Studio,Start time,,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4953&classDate=1/8/2024&clsLoc=1,Gaga/people,Jim Grevatt *GAGA (Masks Optional) (2),none,none,1 hour
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=3125&classDate=1/8/2024&clsLoc=1,Gyrokinesis,Efe *Alibo (3),none,none,1 hour &15 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5557&classDate=1/8/2024&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Alex *Perry,2 hours
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=1/8/2024&clsLoc=1,Cunningham Technique Open Class,Rotating *Cunningham Faculty (Mask Optional),none,Jack *Goode,1 hour &30 minutes
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5631&classDate=1/8/2024&clsLoc=1,Beginner Modern,Nicole *Philippidis (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=1/8/2024&clsLoc=1,Beginner Ballet,Kelly *Slough (Mask Optional),none,Brendan *Polk,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=100&classId=5057&classDate=1/8/2024&clsLoc=1,Dance Church®,Dance Church *Rotating Faculty (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5522&classDate=1/8/2024&clsLoc=1,Open Level Street Jazz,Kim Holmes (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5551&classDate=1/8/2024&clsLoc=1,Open Level Hip-Hop,Léa *Ono (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=154&classId=5618&classDate=1/8/2024&clsLoc=1,Samba & Afro-Brazilian,Quenia *Ribeiro (Masks Optional),none,none,1 hour &30 minutes
