Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082306&classDate=1/8/2024&clsLoc=1,Virtual 90 Beg Ballet,Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083037&classDate=1/8/2024&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,Hawk,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088504&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Loh,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088557&classDate=1/8/2024&clsLoc=1,Virtual 90 Rommett Floor Barre,Moccia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082313&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv/Beg Ballet,Sullivan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083038&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv Pro Ballet,Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087878&classDate=1/8/2024&clsLoc=1,Virtual 90 Int Ballet,Froman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085311&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv/Int Ballet,Averty (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083040&classDate=1/8/2024&clsLoc=1,Virtual 90 Int/Adv Contemporary,Stone,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088203&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv/Int Contemporary,Jarosz,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088528&classDate=1/8/2024&clsLoc=1,Virtual 90 Int/Adv Jazz,Pearce,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083041&classDate=1/8/2024&clsLoc=1,Virtual 90 Int Jazz,LaMotte (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088027&classDate=1/8/2024&clsLoc=1,Virtual 90 Int Precision Jazz,Kenna Morris Garcia,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088136&classDate=1/8/2024&clsLoc=1,Virtual 90 Adv/Beg Latin Fusion,"Anderson, Gracie",Steps on Broadway,1 hour &30 minutes
