Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6724&classDate=3/25/2024&clsLoc=1,Open Ballet,Greg Zane,none,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=3/25/2024&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Michael Dolnikov,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6726&classDate=3/25/2024&clsLoc=1,Inter Contemporary,Jordan Ryder | RYDERDANCE,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5497&classDate=3/25/2024&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6720&classDate=3/25/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7253&classDate=3/25/2024&clsLoc=1,Open Emergent Improvisation,Alexis Vinzons,none,none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=7157&classDate=3/25/2024&clsLoc=1,Open Yoga,Sarah Iguchi,none,none,Peridance Center,1 hour
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7314&classDate=3/25/2024&clsLoc=1,Adv Choreography,Esosa Oviasu,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=3/25/2024&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7160&classDate=3/25/2024&clsLoc=1,Inter Contemporary,Gina Menichino,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=3/25/2024&clsLoc=1,Open Pilates,Yuki Hasegawa,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=7325&classDate=3/25/2024&clsLoc=1,Adv Contemporary | GUEST CLASS,Akira Uchida,none,none,none,2 hours
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=3/25/2024&clsLoc=1,Beg Graham,Caterina Rago,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7186&classDate=3/25/2024&clsLoc=1,Inter Contemporary Floorwork,Marija Obradovic,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=3/25/2024&clsLoc=1,Open House,Ejoe Wilson,none,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=3/25/2024&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6852&classDate=3/25/2024&clsLoc=1,Adv Commercial Hip Hop,Joshua Johnson,none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6831&classDate=3/25/2024&clsLoc=1,Inter Contemporary,Catie Leasca,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=3/25/2024&clsLoc=1,Adv Choreography,Masumi Kambayashi (1),none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7170&classDate=3/25/2024&clsLoc=1,Adv Contemporary,Alex Swader,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6792&classDate=3/25/2024&clsLoc=1,Beg Ballet,Greg Zane,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6657&classDate=3/25/2024&clsLoc=1,Beg Hip Hop,Will Ordener (2),none,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6656&classDate=3/25/2024&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA Society,none,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=3/25/2024&clsLoc=1,Inter Afrobeats,Omari Wiles,none,none,Peridance Center,1 hour &30 minutes
