Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:30 am EDT,none,In-Studio Beg Ballet,Temple Kemezis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,9:45 am EDT,none,In-Studio Int/Adv Pro Ballet,Laura Kaufman (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088502&classDate=3/29/2024&clsLoc=1,In-Studio Adv/Int Ballet,Kate Loh,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087012&classDate=3/29/2024&clsLoc=1,In-Studio Adv Pro Ballet,Nancy Bielski,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087013&classDate=3/29/2024&clsLoc=1,In-Studio Adv/Int Ballet,Francis Lawrence (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087880&classDate=3/29/2024&clsLoc=1,In-Studio Int Ballet,Kurt Froman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087014&classDate=3/29/2024&clsLoc=1,In-Studio Adv/Int Ballet,Karin Averty,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087015&classDate=3/29/2024&clsLoc=1,In-Studio Beg/Int Ballet,Noriko Hara,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088292&classDate=3/29/2024&clsLoc=1,In-Studio Int Contemporary,Clinton Edward,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088033&classDate=3/29/2024&clsLoc=1,In-Studio Int/Adv Contemporary Jazz,Chloe LaFleur,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086071&classDate=3/29/2024&clsLoc=1,In-Studio Int/Adv Contemporary,Patrick Daniel,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084595&classDate=3/29/2024&clsLoc=1,In-Studio Beg/Int Jazz,Akina Kitazawa (3),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087018&classDate=3/29/2024&clsLoc=1,In-Studio Int Jazz,Plu Sayampol,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087020&classDate=3/29/2024&clsLoc=1,In-Studio Adv/Int Jazz,Chip Abbott,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088127&classDate=3/29/2024&clsLoc=1,In-Studio Int Jazz,Richard Pierlon,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085600&classDate=3/29/2024&clsLoc=1,In-Studio Adv/Beg Contemporary Modern,Briana Reed,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087437&classDate=3/29/2024&clsLoc=1,In-Studio Basic Graham Based Modern,Lindsay Poulis,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087022&classDate=3/29/2024&clsLoc=1,In-Studio Int Modern/Horton,JoLea Maffei,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,8:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147088919&classDate=3/29/2024&clsLoc=1,In-Studio Spotlight: Int/Adv Theater Jazz,Sara Brians,Steps on Broadway,2 hours
Steps on Broadway,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085602&classDate=3/29/2024&clsLoc=1,In-Studio Open Hip Hop,Yancy Greene,Steps on Broadway,1 hour &30 minutes
