Studio,Start time,Sign up,Classes,Teacher,Room,Duration
Ballet Arts,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2352&classDate=12/15/2024&clsLoc=1,IN-Studio: ADVANCED BEGINNER Ballet,Yumiko Niimi,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2416&classDate=12/15/2024&clsLoc=1,OUT of Studio: RAISE YOUR VOICE Vocal Training For Dancers,Enzo Veiga,Ballet Arts Virtual 3,1 hour
Ballet Arts,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2239&classDate=12/15/2024&clsLoc=1,OUT of Studio: INTERMEDIATE Ballet,Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2332&classDate=12/15/2024&clsLoc=1,OUT of Studio: INTERMEDIATE Ballet,Noriko Hara,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2417&classDate=12/15/2024&clsLoc=1,OUT of Studio: POINTE (1 hour),Noriko Hara,BALLET Arts - VIRTUAL STUDIO,1 hour
Ballet Arts,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2285&classDate=12/15/2024&clsLoc=1,OUT of Studio: ADVANCED BEGINNER Ballet,Kenny Larson,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2398&classDate=12/15/2024&clsLoc=1,OUT of Studio: Missing Link Series,Richard Marsden,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2354&classDate=12/15/2024&clsLoc=1,OUT of Studio: ADVANCED BEGINNER Ballet,Yumiko Niimi,Ballet Arts Virtual - 2,1 hour &30 minutes
Ballet Arts,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2221&classDate=12/15/2024&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Simon Kazantsev,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2219&classDate=12/15/2024&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Noriko Hara,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=2328&classDate=12/15/2024&clsLoc=1,IN-Studio: POINTE CLASS (1 hour),Noriko Hara,Ballet Arts STUDIO LIVE!,1 hour
Ballet Arts,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2284&classDate=12/15/2024&clsLoc=1,IN-Studio: ADVANCED BEGINNER Ballet,Kenny Larson,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
Ballet Arts,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2399&classDate=12/15/2024&clsLoc=1,IN-Studio: Missing Link Series,Richard Marsden,Ballet Arts STUDIO LIVE!,1 hour &30 minutes
