Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,4:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=2147089282&classDate=12/15/2024&clsLoc=1,In-Studio 2-Hour Class: Adv/Int Theater Jazz,Jessica Lee Goldyn,Steps on Broadway,2 hours
Steps on Broadway,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147090534&classDate=12/15/2024&clsLoc=1,In-Studio Int Ballet,Linda Gelinas,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087047&classDate=12/15/2024&clsLoc=1,In-Studio Adv Ballet,Karin Averty,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087048&classDate=12/15/2024&clsLoc=1,In-Studio Adv/Int Ballet,Nina Goldman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089407&classDate=12/15/2024&clsLoc=1,In-Studio Beg Ballet,Lizzy Supan,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089413&classDate=12/15/2024&clsLoc=1,In-Studio Int Ballet,Sarah Lane (1),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147090537&classDate=12/15/2024&clsLoc=1,In-Studio Int/Adv Ballet,Kate Loh (2),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089403&classDate=12/15/2024&clsLoc=1,In-Studio Adv/Beg Contemporary,Clinton Edward,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147091409&classDate=12/15/2024&clsLoc=1,In-Studio Int Contemporary Jazz,Jaryd Farcon,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089415&classDate=12/15/2024&clsLoc=1,In-Studio Int Contemporary,Briana Reed,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087051&classDate=12/15/2024&clsLoc=1,In-Studio Beg Jazz,IngaMarie Gerson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089409&classDate=12/15/2024&clsLoc=1,In-Studio Int Jazz Fusion,Roberta Mathes,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089411&classDate=12/15/2024&clsLoc=1,In-Studio Beg Hip Hop,Amy Mitchell,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087984&classDate=12/15/2024&clsLoc=1,In-Studio Open Level Yoga,Devin Mae Conway,Steps on Broadway,1 hour
Steps on Broadway,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147091189&classDate=12/15/2024&clsLoc=1,In-Studio Absolute Beginner Swing,Spencer Weisbond,Steps on Broadway,1 hour
Steps on Broadway,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147091179&classDate=12/15/2024&clsLoc=1,In-Studio Basic Swing,Spencer Weisbond,Steps on Broadway,1 hour
Steps on Broadway,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147091365&classDate=12/15/2024&clsLoc=1,In-Studio Int Tap,Felipe Galganni,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085645&classDate=12/15/2024&clsLoc=1,In-Studio Adv/Beg Tap,Felipe Galganni,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147090064&classDate=12/15/2024&clsLoc=1,In-Studio Beg Tap,Kat Ponza,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085647&classDate=12/15/2024&clsLoc=1,In-Studio Int Broadway Tap,Sara Brians,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087055&classDate=12/15/2024&clsLoc=1,In-Studio Int Theater Jazz,Krystyna Resavy,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087056&classDate=12/15/2024&clsLoc=1,In-Studio Adv/Beg Theater Jazz,Lisa Biagini,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147090974&classDate=12/15/2024&clsLoc=1,In-Studio Beg Theater Dance,Rebecca Frazier,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087305&classDate=12/15/2024&clsLoc=1,In-Studio Adv/Int Classic Theater Jazz,Dana Moore,Steps on Broadway,1 hour &30 minutes
