Studio,Start time,Classes,Instructor,Sign up
Ballet Arts,09:30:00,Adv Beg Ballet,Yumiko Niimi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2352&classDate=12/15/2024&clsLoc=1
Ballet Arts,10:00:00,Raise Your Voice Vocal Training For Dancers,Enzo Veiga,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2416&classDate=12/15/2024&clsLoc=1
Ballet Arts,11:00:00,Int Ballet,Simon Kazantsev,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2239&classDate=12/15/2024&clsLoc=1
Ballet Arts,12:30:00,Int Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2332&classDate=12/15/2024&clsLoc=1
Ballet Arts,14:00:00,Pointe 1 Hour,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2417&classDate=12/15/2024&clsLoc=1
Ballet Arts,15:00:00,Adv Beg Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2285&classDate=12/15/2024&clsLoc=1
Ballet Arts,16:30:00,Missing Link Series,Richard Marsden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2398&classDate=12/15/2024&clsLoc=1
Ballet Arts,09:30:00,Adv Beg Ballet,Yumiko Niimi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2354&classDate=12/15/2024&clsLoc=1
Ballet Arts,11:00:00,Int Ballet,Simon Kazantsev,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2221&classDate=12/15/2024&clsLoc=1
Ballet Arts,12:30:00,Int Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2219&classDate=12/15/2024&clsLoc=1
Ballet Arts,14:00:00,Pointe Class 1 Hour,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=2328&classDate=12/15/2024&clsLoc=1
Ballet Arts,15:00:00,Adv Beg Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2284&classDate=12/15/2024&clsLoc=1
Ballet Arts,16:30:00,Missing Link Series,Richard Marsden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2399&classDate=12/15/2024&clsLoc=1
