Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,8:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8351&classDate=12/16/2024&clsLoc=1,IN-STUDIO Mat Pilates Class,Phoebe Higgins,none,Studio 2,1 hour
Ballet Academy East,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8391&classDate=12/16/2024&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8363&classDate=12/16/2024&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 5,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8352&classDate=12/16/2024&clsLoc=1,IN-STUDIO Mat Pilates Class,Vanessa Martínez de Baños,none,Studio 2,1 hour
Ballet Academy East,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8410&classDate=12/16/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8437&classDate=12/16/2024&clsLoc=1,IN-STUDIO Intermediate Ballet,Justin Sherwood,none,Studio 2,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8392&classDate=12/16/2024&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 5,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8378&classDate=12/16/2024&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8438&classDate=12/16/2024&clsLoc=1,IN-STUDIO Intermediate Ballet,Joshua Kolberg (1),none,Studio 3,1 hour &30 minutes
Ballet Academy East,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8423&classDate=12/16/2024&clsLoc=1,IN-STUDIO Stretch & Strengthen,Julie Voshell,none,Studio 6,1 hour &15 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8364&classDate=12/16/2024&clsLoc=1,IN-STUDIO Introduction to Ballet,Brigid Boden (2),none,Studio 6,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8393&classDate=12/16/2024&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Roni Mahler (3),none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8379&classDate=12/16/2024&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Julie Voshell,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8411&classDate=12/16/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Joshua Kolberg (5),none,Studio 1,1 hour &30 minutes
