Studio,Start time,Sign up,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7716&classDate=12/16/2024&clsLoc=1,Adv Ballet,Nick Korkos (1),Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7816&classDate=12/16/2024&clsLoc=1,Adv FoCo Technique™,Grace Whitworth (2),none,none,none,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=8025&classDate=12/16/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=8167&classDate=12/16/2024&clsLoc=1,Beg House,Cocoro Carr,none,none,none,1 hour &30 minutes
Peridance,11:30 am EST,none,Inter Contemporary,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8073&classDate=12/16/2024&clsLoc=1,Open Emergent Improvisation,Uila Marx (3),none,none,none,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7854&classDate=12/16/2024&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7747&classDate=12/16/2024&clsLoc=1,Adv Performance Groove,Kendrick Samuel,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=12/16/2024&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=7802&classDate=12/16/2024&clsLoc=1,Open Mat Pilates,Yuki Hasegawa,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8007&classDate=12/16/2024&clsLoc=1,Adv Contemporary,Gabe Katz (4),none,none,none,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=8303&classDate=12/16/2024&clsLoc=1,Beg Breakdance Techniques for Contemporary Dancers,Babatunji Johnson,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=12/16/2024&clsLoc=1,Beg Graham,Caterina Rago,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=12/16/2024&clsLoc=1,Open House,Ejoe Wilson,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=12/16/2024&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7425&classDate=12/16/2024&clsLoc=1,Inter Countertechnique®,Griffin Massey (5),none,none,none,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7808&classDate=12/16/2024&clsLoc=1,Inter Contemporary,Emily Greenwell,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=8302&classDate=12/16/2024&clsLoc=1,Inter/Adv Street Jazz,Jonté Moaning,none,none,none,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=12/16/2024&clsLoc=1,Adv Choreography,Roy Garzon (6),none,none,none,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7381&classDate=12/16/2024&clsLoc=1,Beg Hip Hop,Hurrikane _,none,none,none,1 hour &30 minutes
Peridance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=7748&classDate=12/16/2024&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA SOCIETY,none,none,none,1 hour &30 minutes
Peridance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=7910&classDate=12/16/2024&clsLoc=1,Open Afro-Cuban,La Mora Pérez | DJONIBA DANCE CENTRE,none,none,none,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=8008&classDate=12/16/2024&clsLoc=1,Adv Beg Across the Floor Heels Technique & Performance,Shernita Anderson,none,none,none,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=12/16/2024&clsLoc=1,Inter Afrobeats,Omari Wiles,none,none,none,1 hour &30 minutes
