Cumbe Dance Center,4:00pm,Compas/Kompa Dance All Levels,Julio Jean & Robenson Mathurin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4073&classDate=8/12/2023&clsLoc=1
ILoveDance Queens,12:00pm,Seven | Jung Kook Part 2,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8265&classDate=8/12/2023&clsLoc=1
ILoveDance Queens,1:30pm,Shhh | Kiss Of Life Part 2,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8255&classDate=8/12/2023&clsLoc=1
ILoveDance Queens,3:00pm,Super Shy | Newjeans Part 2,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8230&classDate=8/12/2023&clsLoc=1
PJM LIC,11:30am,Open Kpop Girl Groups,Joy,none
Ballet Academy East,10:00am,Mat Pilates Class,Stephanie Rae Williams,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7865&classDate=8/12/2023&clsLoc=1
ILoveDance NYC,12:30pm,Super Shy | Newjeans Part 2,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8155&classDate=8/12/2023&clsLoc=1
ILoveDance NYC,2:00pm,Eta | Newjeans Part 2,MJ Choi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8144&classDate=8/12/2023&clsLoc=1
ILoveDance NYC,3:30pm,Seven | Jung Kook Part 2,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8184&classDate=8/12/2023&clsLoc=1
ILoveDance NYC,5:00pm,Shhh | Kiss Of Life Part 2,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8164&classDate=8/12/2023&clsLoc=1
Gibney 280,12:00pm,Embodiment Through Dance Movement Therapy At 280,Dani Cole,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12649&classDate=8/12/2023&clsLoc=1
Ailey Studios,11:30am,Zumba Fitness,Jose Ozuna (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823706&classDate=8/12/2023&clsLoc=1
Ballet Arts,9:00am,Pilates / Stretch,Charmaine Trotman-Shumantov,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2361&classDate=8/12/2023&clsLoc=1
Mark Morris Dance,9:00am,Pilates Flow,Lesley Garrison MMDG Dancer  (13),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=4950&classDate=8/12/2023&clsLoc=1
Gramercy Studios,1pm,Open Level Dance Conditioning,Kristi,unavailable
Steps on Broadway,1:15pm,Pilates Mat,Cummings,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085626&classDate=8/12/2023&clsLoc=1
