Ballet Academy East,11:30am,Beg Contemp,Stephanie Rae Williams,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7880&classDate=8/12/2023&clsLoc=1
Peridance,10:30am,Beg Contemp,Bo Kyung Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5440&classDate=8/12/2023&clsLoc=1
Peridance,1:30pm,Int Contemp,Vive _ (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5430&classDate=8/12/2023&clsLoc=1
Peridance,3:00pm,Adv Contemp,Mathew James,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5427&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,10:30am,Adv Beg Contemp Jazz,Ashley Lynne King,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17453&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,5:45pm,Int Adv Contemp,Gina Menichino,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18215&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,9:00am,Beg Lyrical,Emily Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16565&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,12:00pm,Int Contemp Fusion,Jenifer Dillow,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17880&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,2:30pm,Adv Beg Contemp Lyrical,Tracie Stanfield,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17740&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,4:15pm,Beg Contemp,Elodie Dufroux (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17800&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,7:15pm,Adv Beg Contemp,Terk Lewis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17805&classDate=8/12/2023&clsLoc=1
Gibney 280,10:30am,Gaga/People At 280,Rotating Gaga Teachers,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12677&classDate=8/12/2023&clsLoc=1
Ailey Studios,1:30pm,Open Contemp,Derick McKoy Jr. (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825057&classDate=8/12/2023&clsLoc=1
Ailey Studios,2:30pm,Beg Limón,Becky Brown,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823687&classDate=8/12/2023&clsLoc=1
Ailey Studios,12:00pm,Beg Horton,Cheryl Rowley-Gaskins,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823683&classDate=8/12/2023&clsLoc=1
Steps on Broadway,12:45pm,Adv/Beg Modern/Horton,Perrin (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087043&classDate=8/12/2023&clsLoc=1
Steps on Broadway,3:00pm,Adv/Int Modern/Horton,Bland (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087044&classDate=8/12/2023&clsLoc=1
