Broadway Dance Center,10:00am,Basic Tap,Avital Asuleen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17796&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,11:30am,Adv Beg Tap,Avital Asuleen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17795&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,1:00pm,Int Tap,Madison Hilligoss,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17713&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,2:30pm,Beg Tap,Kat Ponza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17798&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,4:00pm,Basic Tap,Mark Albrecht,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16580&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,5:30pm,Beg Tap,Nicole Ohr (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16581&classDate=8/12/2023&clsLoc=1
Steps on Broadway,11:00am,Int Tap,Ponza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085627&classDate=8/12/2023&clsLoc=1
Steps on Broadway,12:00pm,Basic Tap,Ohr,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087289&classDate=8/12/2023&clsLoc=1
Steps on Broadway,12:45pm,Beg Tap,Ikegaya,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087282&classDate=8/12/2023&clsLoc=1
Steps on Broadway,2:30pm,Int/Adv Tap,Almaguer (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085629&classDate=8/12/2023&clsLoc=1
Steps on Broadway,4:15pm,Adv/Beg Tap,MacDonald,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085631&classDate=8/12/2023&clsLoc=1
Steps on Broadway,6:00pm,Adv/Int Tap,MacDonald,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085632&classDate=8/12/2023&clsLoc=1
