PJM LIC,2:00pm,Beg Theater Jazz,Kim Ross,none
Broadway Dance Center,9:00am,Basic Theater,Melodye Redding,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17944&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,1:00pm,Adv Beg Theater,Jason Wise,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17639&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,10:00am,Basic Broadway Jazz,Tammy O'Hara and Rika (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17656&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,11:30am,Int Theater,Lauralyn McClelland (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17592&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,3:00pm,Int Theater,Sara Edwards (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17799&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,4:30pm,Beg Theater,Sarah Juliet Shaw (10),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17770&classDate=8/12/2023&clsLoc=1
Steps on Broadway,4:45pm,Adv/Int Theater Jazz,"Sanchez, A.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147087682&classDate=8/12/2023&clsLoc=1
Steps on Broadway,2:30pm,Adv/Int Theater Jazz,Moeller (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085633&classDate=8/12/2023&clsLoc=1
Steps on Broadway,3:30pm,Int Theater Jazz,Winans,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085634&classDate=8/12/2023&clsLoc=1
