Cumbe Dance Center,2:00pm,Sabar + Kutiro,Ousmane Sall,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4132&classDate=8/12/2023&clsLoc=1
Peridance,12:00pm,Intro & Beg Salsa Partnering,Baila Society,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4950&classDate=8/12/2023&clsLoc=1
Peridance,1:30pm,Intro & Beg Salsa Partnering,Baila Society,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5429&classDate=8/12/2023&clsLoc=1
Peridance,3:30pm,Adv African,Maguette Camara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=5683&classDate=8/12/2023&clsLoc=1
Peridance,5:00pm,Open Brazilian Samba,Cecilia Lero,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6313&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,6:00pm,All Levels Afro'Dance,Angel Kaba,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17755&classDate=8/12/2023&clsLoc=1
Gibney 280,12:00pm,Afrokorp,Argelia Arreola,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12648&classDate=8/12/2023&clsLoc=1
Ailey Studios,3:00pm,Ny Style Mambo,Katherine Jimenez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823697&classDate=8/12/2023&clsLoc=1
Ailey Studios,10:30am,Masala Bhangra,Sarina Jain,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823694&classDate=8/12/2023&clsLoc=1
Mark Morris Dance,3:00pm,Afro-Caribbean Dance & Movement,Patricia Hall,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=128&classId=3529&classDate=8/12/2023&clsLoc=1
Steps on Broadway,4:30pm,Open Capoeira,da Silva,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147082553&classDate=8/12/2023&clsLoc=1
