Ballet Academy East,10:00am,Adv Beg Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7854&classDate=8/13/2023&clsLoc=1
Ballet Academy East,10:30am,Beg Ballet,Brigid Boden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7839&classDate=8/13/2023&clsLoc=1
Ballet Academy East,11:00am,Intro To Ballet,Elizabeth Portnoy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7807&classDate=8/13/2023&clsLoc=1
Ballet Academy East,11:30am,Int Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7878&classDate=8/13/2023&clsLoc=1
Ballet Academy East,12:00pm,Basic Beg Ballet,Brigid Boden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7832&classDate=8/13/2023&clsLoc=1
Ballet Academy East,1:00pm,Pointe Class,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7882&classDate=8/13/2023&clsLoc=1
Peridance,10:00am,Open Ballet,Bivi Kimura,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=4873&classDate=8/13/2023&clsLoc=1
PMT House of Dance,4:00pm,Beg Ballet,Kaitlyn Dee Snyder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3526&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,12:00pm,Int Ballet,Silken Kelly (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17698&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,1:30pm,Basic Ballet,Canceled Today,none
Broadway Dance Center,4:30pm,Beg Ballet,Laura Kaufman (10),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17579&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,10:30am,Beg Ballet,Joy Karley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17569&classDate=8/13/2023&clsLoc=1
Broadway Dance Center,3:00pm,Adv Beg Ballet,Eureka Nakano Grimes,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17995&classDate=8/13/2023&clsLoc=1
Ailey Studios,10:00am,Beg Ballet,Yinet Fernández (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823664&classDate=8/13/2023&clsLoc=1
Ballet Arts,11:00am,Int Ballet,Simon Kazantsev,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2221&classDate=8/13/2023&clsLoc=1
Ballet Arts,12:30pm,Int Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2219&classDate=8/13/2023&clsLoc=1
Ballet Arts,2:00pm,Pointe Class 1 Hour,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=2328&classDate=8/13/2023&clsLoc=1
Ballet Arts,3:00pm,Adv Beg Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2284&classDate=8/13/2023&clsLoc=1
Ballet Arts,9:30am,Adv Beg Ballet,John H Pickup (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2352&classDate=8/13/2023&clsLoc=1
Steps on Broadway,10:30am,Adv Ballet,"Edge, A. (1)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087047&classDate=8/13/2023&clsLoc=1
Steps on Broadway,11:00am,Adv/Int Ballet,"Goldman, N.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087048&classDate=8/13/2023&clsLoc=1
Steps on Broadway,11:30am,Beg Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085637&classDate=8/13/2023&clsLoc=1
Steps on Broadway,12:45pm,Beg/Int Ballet,Cave,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084380&classDate=8/13/2023&clsLoc=1
Steps on Broadway,2:30pm,Int Ballet,Gelinas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087049&classDate=8/13/2023&clsLoc=1
Steps on Broadway,5:00pm,Int Contemp Ballet,"Crawford, M",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087653&classDate=8/13/2023&clsLoc=1
