Studio,Start time,Classes,Instructor,Sign up
BAE,08:00:00,Mat Pilates Class,Courtney Conner (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7861&classDate=8/14/2023&clsLoc=1
BAE,09:00:00,Adv Beg Ballet,Julia Dubno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7843&classDate=8/14/2023&clsLoc=1
BAE,09:30:00,Intro To Ballet,William Waldinger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7797&classDate=8/14/2023&clsLoc=1
BAE,09:30:00,Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7833&classDate=8/14/2023&clsLoc=1
BAE,11:00:00,Basic Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7822&classDate=8/14/2023&clsLoc=1
BAE,18:00:00,Int Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7871&classDate=8/14/2023&clsLoc=1
BAE,18:30:00,Adv Beg Ballet,Ashley Talluto,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7844&classDate=8/14/2023&clsLoc=1
BAE,19:00:00,Basic Beg Ballet,Cornel Crabtree,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7823&classDate=8/14/2023&clsLoc=1
BAE,19:15:00,Intro To Ballet,Estelle Botella,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7798&classDate=8/14/2023&clsLoc=1
BAE,19:30:00,Beg Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7834&classDate=8/14/2023&clsLoc=1
