Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7847&classDate=8/23/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7801&classDate=8/23/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7892&classDate=8/23/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 1,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7848&classDate=8/23/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Roni Mahler (5),none,Studio 2,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7826&classDate=8/23/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Rosanna Serevalli (7),none,Studio 5,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7863&classDate=8/23/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Ashley Carter,none,Studio 4,1 hour
Ballet Academy East,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7874&classDate=8/23/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Cornel Crabtree,none,Studio 3,1 hour & 30 minutes
Ballet Academy East,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7860&classDate=8/23/2023&clsLoc=1,IN-STUDIO Advanced Beginner Contemporary,Ashley Carter,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7802&classDate=8/23/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Roni Mahler (8),none,Studio 5,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7836&classDate=8/23/2023&clsLoc=1,IN-STUDIO Beginner Ballet,William Waldinger,none,Studio 2,1 hour & 30 minutes
