Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12556&classDate=9/26/2023&clsLoc=1,Ballet with Gilbert T Small II at 890,Gilbert T Small II,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12876&classDate=9/26/2023&clsLoc=1,Contemporary: Dynamic Sequencing with Adam Barruch at 280,Adam Barruch,Gibney 280: Studio X,1 hour & 45 minutes
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12844&classDate=9/26/2023&clsLoc=1,Countertechnique with Francesca Dominguez at 280,Francesca Dominguez,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12905&classDate=9/26/2023&clsLoc=1,Contemporary Floorwork with Isaac Martin Lerner at 280,Isaac Martin Lerner,Gibney 280: Studio X,1 hour & 45 minutes
Gibney,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12951&classDate=9/26/2023&clsLoc=1,Contemporary with Baye & Asa at 280,Baye & Asa,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12563&classDate=9/26/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=12950&classDate=9/26/2023&clsLoc=1,The Playground,Amanda Krische,Gibney 280: Studio X,1 hour & 45 minutes
Gibney,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12877&classDate=9/26/2023&clsLoc=1,Contemporary Release with Wesley Ensminger at 280,Wesley Ensminger,Gibney 280: Studio E,1 hour & 45 minutes
Gibney,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12568&classDate=9/26/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12791&classDate=9/26/2023&clsLoc=1,Gaga/dancers at 280,Rotating Gaga Teachers,Gibney 280: Studio C,1 hour & 15 minutes
