Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18320&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio 4,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,none,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Canceled Today,none,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18309&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP with Ness Martinez,Dr. Ew (1),Studio B,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18091&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,June Chin (2),Studio 4,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18379&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 5,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18494&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio 3,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18397&classDate=10/19/2023&clsLoc=1,IN-PERSON: All Levels VOICE with Eric Fotre Leach,Eric Fotre Leach,Studio A,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18095&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18317&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Miles Keeney,Miles Keeney,Studio 5,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18229&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg BALLET with Yuka Kawazu,Yuka Kawazu,Studio 4,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18203&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int TAP with April Cook,"Julie ""JJ"" Joseph (6)",Studio B,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18261&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Nijawwon Matthews,Nijawwon Matthews,Studio A,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18258&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Benjamin Briones,Studio 4,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18563&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 3,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18213&classDate=10/19/2023&clsLoc=1,IN-PERSON: Basic BALLET with Erica Ratkovicz,Erica Ratkovicz,Studio A,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18344&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int Adv TAP with Derek Roland,Josh Walden (10),Studio B,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18226&classDate=10/19/2023&clsLoc=1,IN-PERSON: All Levels BURLESQUE JAZZ with Tony Guerrero,Tony Guerrero,Studio A,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18272&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg HEELS with Hector Lopez,Hector Lopez,Studio 3,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18409&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with alma Collective,alma Collective,Studio 4,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18503&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY with Alexa Luke,Alexa Luke,Studio A,1 hour & 30 minutes
Broadway Dance Center,9:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18302&classDate=10/19/2023&clsLoc=1,IN-PERSON: All Levels PILATES with Lauren Weinberg,Lauren Weinberg,Studio 3,1 hour & 15 minutes
