Studio,Start time,Classes,Instructor,Sign up
Mark Morris,09:00:00,Gaga/People,Doron Perk *GAGA  (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4953&classDate=10/30/2023&clsLoc=1
Mark Morris,09:00:00,Gyrokinesis,Alexandra *Berger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=3125&classDate=10/30/2023&clsLoc=1
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5557&classDate=10/30/2023&clsLoc=1
Mark Morris,10:15:00,Cunningham Technique Open Class,Brandon Collwes *Cunningham  (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=10/30/2023&clsLoc=1
Mark Morris,12:00:00,Beg Contemp,Nicole *Philippidis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5122&classDate=10/30/2023&clsLoc=1
Mark Morris,19:00:00,Beg Ballet,Kelly *Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=10/30/2023&clsLoc=1
Mark Morris,19:00:00,Dance Church,Dance Church *Rotating Faculty,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=100&classId=5057&classDate=10/30/2023&clsLoc=1
Mark Morris,19:00:00,Open Level Street Jazz,Kim Holmes,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5522&classDate=10/30/2023&clsLoc=1
Mark Morris,19:15:00,Open Level Hip-Hop,Léa *Ono,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5551&classDate=10/30/2023&clsLoc=1
Mark Morris,19:15:00,Samba & Afro-Brazilian,Quenia *Ribeiro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=154&classId=5523&classDate=10/30/2023&clsLoc=1
