Studio,Start time,Classes,Instructor,Sign up
Ailey,18:00:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824722&classDate=11/2/2023&clsLoc=1
Ailey,18:00:00,Zumba Fitness,Diego Chauca,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824769&classDate=11/2/2023&clsLoc=1
Ailey,18:30:00,Beg West African,Maguette Camara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824747&classDate=11/2/2023&clsLoc=1
Ailey,19:00:00,Beg Heels,Cancelled Today,none
Ailey,19:00:00,Beg Horton,Cancelled Today,none
Ailey,18:00:00,Pilates Fusion,Cancelled Today,none
Ailey,18:30:00,Abs Beg Hip-Hop,Yancy Greene,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824706&classDate=11/2/2023&clsLoc=1
Ailey,19:00:00,Beg Contemp,Christopher Jackson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824725&classDate=11/2/2023&clsLoc=1
Ailey,19:00:00,Beg Hip-Hop,Jonathan Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824736&classDate=11/2/2023&clsLoc=1
Ailey,19:30:00,Beg Broadway Dance,Matthew Johnson Harris,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825232&classDate=11/2/2023&clsLoc=1
