Studio,Start time,Sign up,Classes,Teacher,Duration
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2168&classDate=11/27/2023&clsLoc=1,Basic,Felipe Galganni,1 hour &15 minutes
ATDF,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2173&classDate=11/27/2023&clsLoc=1,Beginner,Felipe Galganni,1 hour &15 minutes
ATDF,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2188&classDate=11/28/2023&clsLoc=1,Advanced Beginner,Tony Waag,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2174&classDate=11/28/2023&clsLoc=1,Beginner,Emma Butensky,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2172&classDate=11/30/2023&clsLoc=1,Advanced Beginner,Brian Davis,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2196&classDate=12/1/2023&clsLoc=1,Basic,Sandra Kluge,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2279&classDate=11/27/2023&clsLoc=1,Intermediate,Kaleena Miller,1 hour &15 minutes
ATDF,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2278&classDate=11/27/2023&clsLoc=1,Inter/Advanced,Kaleena Miller,1 hour &15 minutes
ATDF,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2306&classDate=11/28/2023&clsLoc=1,Basic,Ivan Owens,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2189&classDate=11/28/2023&clsLoc=1,Intermediate Repertory,Lynn Schwab,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2171&classDate=11/30/2023&clsLoc=1,Basic,Susan Hebach,1 hour &15 minutes
