Studio,Start time,Sign up,Classes,Teacher,Duration
Brickhouse,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7710&classDate=11/27/2023&clsLoc=1,Choreography (Int/Adv),Eric Delgado,1 hour &30 minutes
Brickhouse,6:00 pm EST,none,GeNex (Private),Kelly Peters,2 hours
Brickhouse,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7715&classDate=11/28/2023&clsLoc=1,Contemporary Fusion (Int),Alexa Luke,1 hour &30 minutes
Brickhouse,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7712&classDate=11/28/2023&clsLoc=1,Hip Hop (Adv. Beg/Int),Mini Zhang,1 hour &30 minutes
Brickhouse,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7713&classDate=11/28/2023&clsLoc=1,Heels (Int/Adv),Emma Rosa,1 hour &30 minutes
Brickhouse,12:30 pm EST,none,Private Rehearsal,Various *,1 hour
Brickhouse,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7800&classDate=11/29/2023&clsLoc=1,Hip Hop (Int/Adv),Nick Kim,1 hour &30 minutes
Brickhouse,6:00 pm EST,none,GeNex (Private),Kelly Peters,2 hours
Brickhouse,12:30 pm EST,none,Private Rehearsal,Various *,1 hour
Brickhouse,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7914&classDate=11/30/2023&clsLoc=1,Hip Hop (Int/Adv),Nycole Altchiler,1 hour &30 minutes
Brickhouse,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7953&classDate=11/30/2023&clsLoc=1,Expressive Movement (open level),Kyla Bullings,1 hour &30 minutes
Brickhouse,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7719&classDate=12/1/2023&clsLoc=1,Street Jazz (Int/Adv),Bo Park,1 hour &30 minutes
Brickhouse,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7721&classDate=12/1/2023&clsLoc=1,Adv. Choreography,Sam Javier,1 hour &30 minutes
Brickhouse,9:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7801&classDate=12/1/2023&clsLoc=1,Popping (open level),Castro .,1 hour &30 minutes
Brickhouse,10:00 am EST,none,MiXrz Company Rehearsal (Private),Dani & Dom Russo,2 hours
Brickhouse,3:00 pm EST,none,GenXS (Private),Kelly Peters,2 hours
Brickhouse,10:00 am EST,none,X Factory Training (Private),Kelly Peters,3 hours
Brickhouse,3:00 pm EST,none,X Factory Training (Private),Kelly Peters,3 hours
Brickhouse,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7913&classDate=12/3/2023&clsLoc=1,Adult Beginner Hip Hop,Desiree Adames,1 hour &30 minutes
Brickhouse,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7952&classDate=11/27/2023&clsLoc=1,Pop Up - Hip Hop,Sia Lee,1 hour &30 minutes
Brickhouse,8:00 pm EST,none,MiXrz Company Rehearsal (Private),Dani & Dom Russo,2 hours
Brickhouse,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7711&classDate=11/28/2023&clsLoc=1,Street Jazz (Adv. Beg/Int),Justin Desean,1 hour &30 minutes
Brickhouse,6:00 pm EST,none,Generation X (Private),Kelly Peters,2 hours
Brickhouse,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7714&classDate=11/29/2023&clsLoc=1,Contemporary (Int),Rae-ann Thomas,1 hour &30 minutes
Brickhouse,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7955&classDate=11/29/2023&clsLoc=1,Pop Up - Hip Hop,Karon Lynn,1 hour &30 minutes
Brickhouse,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7905&classDate=11/29/2023&clsLoc=1,Hip Hop (Adv),Rachel Wilson,1 hour &30 minutes
Brickhouse,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7718&classDate=11/30/2023&clsLoc=1,Heels (Int/Adv),Sabina Lundgren,1 hour &30 minutes
Brickhouse,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7954&classDate=11/30/2023&clsLoc=1,Pop Up - Hip Hop,Brandon Trent,1 hour &30 minutes
Brickhouse,9:00 pm EST,none,X Pro (Private),Kelly Peters,2 hours
Brickhouse,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7720&classDate=12/1/2023&clsLoc=1,Adv. Street Jazz,Jay Mills,1 hour &30 minutes
Brickhouse,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7722&classDate=12/1/2023&clsLoc=1,Hip Hop (Adv. Beg/Int),Tweet Boogie,1 hour &30 minutes
Brickhouse,12:00 pm EST,none,X Factory Training (Private),Kelly Peters,3 hours
Brickhouse,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7885&classDate=12/2/2023&clsLoc=1,Choreography (Int/Adv),Roy Garzon,1 hour &30 minutes
Brickhouse,1:00 pm EST,none,GenXS (Private),Kelly Peters,2 hours
Brickhouse,6:00 pm EST,none,X Pro (Private),Kelly Peters,2 hours
