Studio,Start time,Sign up,Classes,Teacher,Duration
Cre8ivity NJ,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=293&classDate=11/27/2023&clsLoc=1,Pilates Conditioning & Stretch for Dancers Intermediate and Up Ages 10+,Gianna Caridi,45 minutes
Cre8ivity NJ,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=291&classDate=11/27/2023&clsLoc=1,Intermediate Commercial Jazz Ages 9-12,Yvonne Marie Sain,1 hour
Cre8ivity NJ,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=295&classDate=11/27/2023&clsLoc=1,Intermediate Contemporary/Lyrical Ages 9-12,Shoshanna Babitt,1 hour
Cre8ivity NJ,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=298&classDate=11/28/2023&clsLoc=1,Int/Advanced Ballet Ages 13+,Gianna Caridi,1 hour &15 minutes
Cre8ivity NJ,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=297&classDate=11/28/2023&clsLoc=1,Int/Advanced Hip Hop Breaking Ages 13+,Alan Robert,1 hour &30 minutes
Cre8ivity NJ,8:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=283&classDate=11/28/2023&clsLoc=1,Adult Beginner Ballet,Anneliese Wilson,1 hour
Cre8ivity NJ,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=301&classDate=11/29/2023&clsLoc=1,Int/Advanced Ballet Technique Ages 12+,Anneliese Wilson,1 hour &30 minutes
Cre8ivity NJ,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=300&classDate=11/29/2023&clsLoc=1,Int/Advanced Hip Hop Ages 13+,David Thomas (2),1 hour &30 minutes
Cre8ivity NJ,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=304&classDate=11/30/2023&clsLoc=1,Intermediate Ballet Ages 9-12,Gianna Caridi,1 hour
Cre8ivity NJ,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=303&classDate=11/30/2023&clsLoc=1,Int/Advanced Street Jazz Ages 13+,Mini Zhang (5),1 hour &30 minutes
Cre8ivity NJ,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=41&classId=307&classDate=12/3/2023&clsLoc=1,December 3rd. Hip Hop Dance Battle,Alan Robert,2 hours
Cre8ivity NJ,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=294&classDate=11/27/2023&clsLoc=1,Int/Advanced Contemporary/Lyrical Ages 13+,Shoshanna Babitt,1 hour &30 minutes
Cre8ivity NJ,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=292&classDate=11/27/2023&clsLoc=1,Int/Advanced Commercial Jazz Ages 13+,Yvonne Marie Sain,1 hour &30 minutes
Cre8ivity NJ,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=288&classDate=11/27/2023&clsLoc=1,Adult Beginner Commercial Jazz,Yvonne Marie Sain,1 hour
Cre8ivity NJ,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=296&classDate=11/28/2023&clsLoc=1,Intermediate Hip Hop/Breaking Ages 9-12,Alan Robert,1 hour
Cre8ivity NJ,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=227&classDate=11/28/2023&clsLoc=1,Adult Beginner Hip Hop,Alan Robert,1 hour
Cre8ivity NJ,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=299&classDate=11/29/2023&clsLoc=1,Intermediate Hip Hop Ages 9-12,David Thomas (1),1 hour
Cre8ivity NJ,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=228&classDate=11/29/2023&clsLoc=1,Adult Beginner Hip Hop,David Thomas (3),1 hour
Cre8ivity NJ,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=40&classId=302&classDate=11/30/2023&clsLoc=1,Intermediate Street Jazz Ages 9-12,Mini Zhang (4),1 hour
Cre8ivity NJ,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=310&classDate=11/30/2023&clsLoc=1,Adult Beg / Adv Beg Street Jazz,Mini Zhang,1 hour
