Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4142&classDate=11/27/2023&clsLoc=1,Haitian Dance [D4J],Julio Jean,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3991&classDate=11/28/2023&clsLoc=1,Afro-Fusion [All Levels],Tamara Jones,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4167&classDate=11/29/2023&clsLoc=1,Congolese Dance and Drum [D4J],Andoche Loubaki,1 hour &30 minutes
Cumbe Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4145&classDate=11/30/2023&clsLoc=1,West African Drumming [D4J],Vado Diomande,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4003&classDate=11/30/2023&clsLoc=1,Chicago Style Steppin' [All Levels],NY Chicago Style Steppers,1 hour &30 minutes
Cumbe Dance Center,6:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4158&classDate=12/1/2023&clsLoc=1,RabòdayFit [All Levels],Robenson Mathurin,1 hour &15 minutes
Cumbe Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4180&classDate=12/2/2023&clsLoc=1,Compas/Kompa Dance [All Levels],Julio Jean & Robenson Mathurin,1 hour
Cumbe Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4166&classDate=12/2/2023&clsLoc=1,Sabar + Kutiro,Ousmane Sall,1 hour &30 minutes
Cumbe Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4144&classDate=12/3/2023&clsLoc=1,BellyDancing [D4J],Jaida,1 hour &30 minutes
Cumbe Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4143&classDate=12/3/2023&clsLoc=1,Batala [D4J],Batalá New York,1 hour &30 minutes
Cumbe Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4036&classDate=11/27/2023&clsLoc=1,ASA! Fitness w/ Jerijah [All Levels],Jerijah West,1 hour &15 minutes
Cumbe Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3990&classDate=11/28/2023&clsLoc=1,West African Dance - Ivory Coast [All Levels],Vado Diomande,1 hour &30 minutes
Cumbe Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4141&classDate=11/29/2023&clsLoc=1,Afro Brazilian and Samba [D4J],Quenia Ribeiro,1 hour &30 minutes
Cumbe Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4130&classDate=11/30/2023&clsLoc=1,ASA! with Dianne [All Levels],Dianne Adkins-Forte,1 hour &15 minutes
Cumbe Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4177&classDate=11/30/2023&clsLoc=1,West African [Special Workshop],Tamara Jones,1 hour &30 minutes
Cumbe Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4160&classDate=12/2/2023&clsLoc=1,Dunham Jazz [D4J],Candice Michelle Franklin,2 hours
Cumbe Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4147&classDate=12/3/2023&clsLoc=1,West African Guinean Dance [D4J],Darian Parker,1 hour &30 minutes
