Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,5:00 pm EST,none,In-StudioM: Int/Adv Choreography,Cancelled Today,none,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6782&classDate=11/27/2023&clsLoc=1,In-StudioM: Basic Hip Hop Fundamentals,Ness Martinez,none,1 hour &20 minutes
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=5857&classDate=11/27/2023&clsLoc=1,In-StudioM: Beg House,Huu Rock,none,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8793&classDate=11/28/2023&clsLoc=1,In-StudioM: Baddie | IVE (Part 4),Winnie Chung,Manhattan,1 hour &20 minutes
ILoveDance,7:40 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8758&classDate=11/28/2023&clsLoc=1,In-StudioM: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,Manhattan,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8759&classDate=11/29/2023&clsLoc=1,In-StudioM: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8777&classDate=11/29/2023&clsLoc=1,In-StudioM: Puppet Show | XG (Part 4),Maylin Ramos,none,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8769&classDate=11/30/2023&clsLoc=1,In-StudioM: Get A Guitar | RIIZE (Part 4),Ness Martinez,none,1 hour &20 minutes
ILoveDance,7:40 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8758&classDate=11/30/2023&clsLoc=1,In-StudioM: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,Manhattan,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8753&classDate=12/1/2023&clsLoc=1,In-StudioM: 3D | Jung Kook (Part 4),Ying Dong,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8785&classDate=12/1/2023&clsLoc=1,In-StudioM: Fact Check | NCT 127 (Part 4),Ying Dong,Manhattan,1 hour &20 minutes
ILoveDance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8794&classDate=12/2/2023&clsLoc=1,In-StudioM: Baddie | IVE (Part 4),Winnie Chung,Manhattan,1 hour &20 minutes
ILoveDance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8754&classDate=12/2/2023&clsLoc=1,In-StudioM: 3D | Jung Kook (Part 4),Ying Dong,Manhattan,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8753&classDate=11/27/2023&clsLoc=1,In-StudioM: 3D | Jung Kook (Part 4),Ying Dong,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8798&classDate=11/27/2023&clsLoc=1,In-StudioM: Baddie | IVE (Part 4),Winnie Chung,Manhattan,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=11/28/2023&clsLoc=1,In-StudioM: Kpop Diet Dance,DJ McIver,none,1 hour
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6064&classDate=11/29/2023&clsLoc=1,In-StudioM: Adv Beg Choreography,Alice Wu,Manhattan,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=11/30/2023&clsLoc=1,In-StudioM: Kpop Diet Dance,DJ McIver,none,1 hour
ILoveDance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6048&classDate=11/30/2023&clsLoc=1,In-StudioM: Beg Hip Hop Choreography,Ness Martinez,none,1 hour &20 minutes
ILoveDance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8778&classDate=12/1/2023&clsLoc=1,In-StudioM: Puppet Show | XG (Part 4),Maylin Ramos,none,1 hour &20 minutes
ILoveDance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8770&classDate=12/2/2023&clsLoc=1,In-StudioM: Get A Guitar | RIIZE (Part 4),Ness Martinez,Manhattan,1 hour &20 minutes
ILoveDance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8786&classDate=12/2/2023&clsLoc=1,In-StudioM: Fact Check | NCT 127 (Part 4),Ying Dong,Manhattan,1 hour &20 minutes
