Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8726&classDate=11/27/2023&clsLoc=1,In-StudioNJ: Puppet Show | XG (Part 4),Maylin Ramos,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8438&classDate=11/28/2023&clsLoc=1,In-StudioNJ: Kids Kpop (7 - 8 years old),Min Seon Kim,Fort Lee Studio 1,1 hour
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8734&classDate=11/28/2023&clsLoc=1,In-StudioNJ: Baddie | IVE (Part 4),Regina Lustre,none,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8437&classDate=11/28/2023&clsLoc=1,In-StudioNJ: Int/Adv Choreography,Alice Wu,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8738&classDate=11/29/2023&clsLoc=1,In-StudioNJ: Get A Guitar | RIIZE (Part 4),Ness Martinez,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8799&classDate=11/30/2023&clsLoc=1,In-StudioNJ: Kpop Diet Dance,Min Seon Kim,none,1 hour
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8742&classDate=11/30/2023&clsLoc=1,In-StudioNJ: 3D | Jung Kook (Part 4),Ying Dong,none,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8436&classDate=11/30/2023&clsLoc=1,In-StudioNJ: Adv Beg Choreography,Alice Wu,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8734&classDate=12/1/2023&clsLoc=1,In-StudioNJ: Baddie | IVE (Part 4),Regina Lustre,none,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=11/27/2023&clsLoc=1,In-StudioNJ: Perfect Night | LESSERAFIM (Part 4),Min Seon Kim,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8742&classDate=11/28/2023&clsLoc=1,In-StudioNJ: 3D | Jung Kook (Part 4),Ying Dong,none,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8746&classDate=11/28/2023&clsLoc=1,In-StudioNJ: Fact Check | NCT 127 (Part 4),Ying Dong,Fort Lee Studio 2,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=11/29/2023&clsLoc=1,In-StudioNJ: Perfect Night | LESSERAFIM (Part 4),Min Seon Kim,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8600&classDate=11/30/2023&clsLoc=1,In-StudioNJ: Kids Kpop (9 - 12 years old),Maylin Ramos,Fort Lee Studio 1,1 hour
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8726&classDate=11/30/2023&clsLoc=1,In-StudioNJ: Puppet Show | XG (Part 4),Maylin Ramos,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8746&classDate=11/30/2023&clsLoc=1,In-StudioNJ: Fact Check | NCT 127 (Part 4),Ying Dong,Fort Lee Studio 2,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8730&classDate=12/1/2023&clsLoc=1,In-StudioNJ: Perfect Night | LESSERAFIM (Part 4),Min Seon Kim,Fort Lee Studio 1,1 hour &20 minutes
