Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,5:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8621&classDate=11/27/2023&clsLoc=1,In-StudioQ: Kids Kpop (8 - 12 years old),Christina Ryu,Flushing,1 hour
ILoveDance,8:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8461&classDate=11/27/2023&clsLoc=1,In-StudioQ: All Levels Choreography,Christina Ryu,Flushing,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8665&classDate=11/28/2023&clsLoc=1,In-StudioQ: Puppet Show | XG (Part 4),Maylin Ramos,Flushing,1 hour &20 minutes
ILoveDance,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8337&classDate=11/29/2023&clsLoc=1,In-StudioQ: Kids Kpop (8 - 12 years old),Winnie Chung,Fort Lee Studio 1,1 hour
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8689&classDate=11/29/2023&clsLoc=1,In-StudioQ: Fact Check | NCT 127 (Part 4),Ying Dong,Flushing,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8678&classDate=11/30/2023&clsLoc=1,In-StudioQ: Baddie | IVE (Part 4),Winnie Chung,Flushing,1 hour &20 minutes
ILoveDance,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8338&classDate=12/1/2023&clsLoc=1,In-StudioQ: Kids Kpop (8 - 12 years old),Eunice Shin,Fort Lee Studio 1,1 hour
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8670&classDate=12/1/2023&clsLoc=1,In-StudioQ: Get A Guitar | RIIZE (Part 4),Ness Martinez,Flushing,1 hour &20 minutes
ILoveDance,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8690&classDate=12/2/2023&clsLoc=1,In-StudioQ: Fact Check | NCT 127 (Part 4),Ying Dong,Flushing,1 hour &20 minutes
ILoveDance,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8666&classDate=12/2/2023&clsLoc=1,In-StudioQ: Puppet Show | XG (Part 4),Maylin Ramos,Flushing,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=7138&classDate=12/3/2023&clsLoc=1,In-StudioQ: Kpop Diet Dance,DJ McIver,Flushing,1 hour
ILoveDance,6:50 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8649&classDate=11/27/2023&clsLoc=1,In-StudioQ: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,Flushing,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8670&classDate=11/28/2023&clsLoc=1,In-StudioQ: Get A Guitar | RIIZE (Part 4),Ness Martinez,Flushing,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8678&classDate=11/29/2023&clsLoc=1,In-StudioQ: Baddie | IVE (Part 4),Winnie Chung,Flushing,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8705&classDate=11/30/2023&clsLoc=1,In-StudioQ: 3D | Jung Kook (Part 4),Fernando Farias,Flushing,1 hour &20 minutes
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8650&classDate=12/1/2023&clsLoc=1,In-StudioQ: Perfect Night | LESSERAFIM (Part 4),Eunice Shin,Flushing,1 hour &20 minutes
ILoveDance,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8706&classDate=12/2/2023&clsLoc=1,In-StudioQ: 3D | Jung Kook (Part 4),Fernando Farias,Flushing,1 hour &20 minutes
