Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=3125&classDate=11/27/2023&clsLoc=1,Gyrokinesis,Alexandra *Berger (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=11/27/2023&clsLoc=1,Cunningham Technique Open Class,Alan Good *Cunningham (Mask Optional) (2),none,Jack *Goode,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=11/27/2023&clsLoc=1,Beginner Ballet,Kelly *Slough (Mask Optional),none,Brendan *Polk,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5522&classDate=11/27/2023&clsLoc=1,Open Level Street Jazz,Kim Holmes (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=154&classId=5523&classDate=11/27/2023&clsLoc=1,Samba & Afro-Brazilian,Quenia *Ribeiro (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4990&classDate=11/28/2023&clsLoc=1,Advanced Ballet,Sam Black *MMDG Co. Director (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4613&classDate=11/28/2023&clsLoc=1,Beginner Modern,Claudia *McDonald (Mask Optional),none,Marina *Makarova,1 hour &30 minutes
Mark Morris Dance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=143&classId=5576&classDate=11/28/2023&clsLoc=1,Movement for Older Bodies: Open Level Move & Flow,Alexandra *Berger (Mask Optional),none,Howard *Britz,1 hour
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4970&classDate=11/28/2023&clsLoc=1,Intermediate Modern,Andrea *Murillo (Mask Optional),none,Andreas *Brade,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=132&classId=5549&classDate=11/28/2023&clsLoc=1,Beginner Haitian,Véronëque *Ignace (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=137&classId=5552&classDate=11/28/2023&clsLoc=1,Classical Indian,Yamini *Kalluri (Masks Optional),none,Greg *Gonzalez,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5527&classDate=11/28/2023&clsLoc=1,Open Level House,Kim Holmes (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4991&classDate=11/29/2023&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Renee *Ong,2 hours
Mark Morris Dance,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_debf.asp?tg=60&classId=5594&classDate=11/29/2023&clsLoc=1,Dance for PD® Volunteer Orientation and Faculty Refresher,Uta Takemura,Amy Bauman,none,4 hours
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5277&classDate=11/29/2023&clsLoc=1,Intermediate Tap,Ja'Bowen *Dixon,none,none,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5531&classDate=11/29/2023&clsLoc=1,Gaga/people,Annie Rigney *GAGA (Masks Optional) (4),none,none,1 hour
Mark Morris Dance,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5162&classDate=11/30/2023&clsLoc=1,Intermediate Contemporary,Brayden *Singley (5),none,none,1 hour &30 minutes
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4943&classDate=11/30/2023&clsLoc=1,Open Level Waacking: Disco and Funk,CocoMotion (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5546&classDate=11/30/2023&clsLoc=1,Intermediate Ballet,Ashley Tuttle (Masks Optional),none,George *Lykogiannis,1 hour &30 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=12/1/2023&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4949&classDate=12/1/2023&clsLoc=1,Beginner Tap,Yuka Kameda (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=3519&classDate=12/1/2023&clsLoc=1,Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=3546&classDate=12/2/2023&clsLoc=1,Beginner Ballet,Cara Surico (Mask Optional),none,Patrick *Gallagher,1 hour &30 minutes
Mark Morris Dance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=128&classId=5550&classDate=12/2/2023&clsLoc=1,Afro-Caribbean Dance & Movement,Patricia Hall (Masks Optional),none,none,2 hours
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4953&classDate=11/27/2023&clsLoc=1,Gaga/people,Jim Grevatt *GAGA (Masks Optional) (1),none,none,1 hour
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5557&classDate=11/27/2023&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Alex *Perry,2 hours
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5122&classDate=11/27/2023&clsLoc=1,Beginner Contemporary,Nicole *Philippidis (Mask Optional),none,Alex *Perry,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=100&classId=5057&classDate=11/27/2023&clsLoc=1,Dance Church®,Dance Church *Rotating Faculty (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5551&classDate=11/27/2023&clsLoc=1,Open Level Hip-Hop,Léa *Ono (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=5524&classDate=11/28/2023&clsLoc=1,Senegalese Dance,Marie *Basse,none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4929&classDate=11/28/2023&clsLoc=1,Intermediate Ballet,Ashley Tuttle (Masks Optional),none,Dmitry *Polischuk,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5526&classDate=11/28/2023&clsLoc=1,Beginner Jazz,Kristina *Bermudez (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5059&classDate=11/29/2023&clsLoc=1,Cunningham Technique Open Class,Andrea Weber *Cunningham (Mask Optional) (3),none,Paula Jeanine *Bennett,1 hour &30 minutes
Mark Morris Dance,12:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4934&classDate=11/29/2023&clsLoc=1,Contemporary: Simonson Technique,Laurie *De Vito (Masks Optional),none,none,1 hour &50 minutes
Mark Morris Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5529&classDate=11/29/2023&clsLoc=1,Advanced Contemporary,Elena *Vazintaris,none,none,1 hour &30 minutes
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3162&classDate=11/29/2023&clsLoc=1,Intermediate West African,Mouminatou *Camara (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5532&classDate=11/29/2023&clsLoc=1,Beginner Hip-Hop,Jillian Roberts (Masks Optional),none,none,1 hour &30 minutes
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5577&classDate=11/30/2023&clsLoc=1,Beginner Ballet,Tristan *Grannum (Mask Optional),none,Santiago *Belgrano,1 hour &30 minutes
Mark Morris Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5534&classDate=11/30/2023&clsLoc=1,Open Level Pilates,Lesley Garrison MMDG Dancer (Masks Optional),none,none,1 hour
Mark Morris Dance,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=30&classId=5051&classDate=11/30/2023&clsLoc=1,Zumba,Bethina Sayegh-Flores (Mask Optional),none,none,1 hour
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5535&classDate=11/30/2023&clsLoc=1,Beginner Modern,Chris *Heller (Mask Optional),none,Andreas *Brade,1 hour &30 minutes
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5536&classDate=12/1/2023&clsLoc=1,Open Level Pilates,Ellie *Kusner (Masks optional),none,none,1 hour
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=12/1/2023&clsLoc=1,Cunningham Technique Open Class,Rotating *Cunningham Faculty (Mask Optional),none,Allen *Fogelsanger,1 hour &30 minutes
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=12/1/2023&clsLoc=1,Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=4993&classDate=12/1/2023&clsLoc=1,Open Level West African,Ismael *Kouyate (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=4950&classDate=12/2/2023&clsLoc=1,Pilates Flow,Lesley Garrison MMDG Dancer (Masks Optional),none,none,1 hour
Mark Morris Dance,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5537&classDate=12/2/2023&clsLoc=1,Beginner Contemporary,Andrea *Murillo (Mask Optional),none,none,1 hour &30 minutes
