Studio,Start time,Sign up,Classes,Teacher,Duration
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3374&classDate=11/27/2023&clsLoc=1,IN PERSON: Adv. Beg. Waacking,Princess Lockerooo,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3376&classDate=11/27/2023&clsLoc=1,IN PERSON: Adv. Beg. Voguing,Baby Oricci (1),1 hour &30 minutes
PMT House of Dance,9:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3502&classDate=11/27/2023&clsLoc=1,IN PERSON: Adv. Beg. Choreography,John John Tarrayo,1 hour &30 minutes
PMT House of Dance,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3536&classDate=11/28/2023&clsLoc=1,IN PERSON: African Diasporic Dance,J Lyn Thomas,1 hour &30 minutes
PMT House of Dance,6:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3380&classDate=11/28/2023&clsLoc=1,IN PERSON: Beginner Jazz,Mica Butnar,1 hour &30 minutes
PMT House of Dance,8:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3487&classDate=11/28/2023&clsLoc=1,IN PERSON: Intro to Hip Hop,Devynn Brooks,1 hour &30 minutes
PMT House of Dance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3384&classDate=11/29/2023&clsLoc=1,IN PERSON: Open Reggaeton,David Machicado,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3387&classDate=11/29/2023&clsLoc=1,IN PERSON: Beginner Hip Hop,Devynn Brooks,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3519&classDate=11/29/2023&clsLoc=1,IN PERSON: Adv. Beg. Hip Hop Choreo,Shoshanna Babitt,1 hour &30 minutes
PMT House of Dance,9:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3533&classDate=11/29/2023&clsLoc=1,IN PERSON: Rhytmatic House,Shan S,1 hour &30 minutes
PMT House of Dance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3392&classDate=11/30/2023&clsLoc=1,IN PERSON: Adv. Beg. Jazz,Michelle Barber,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3393&classDate=11/30/2023&clsLoc=1,IN PERSON: Beginner Contemporary,Mica Butnar,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3535&classDate=11/30/2023&clsLoc=1,IN PERSON: Open Level House Drills,Jungle -,1 hour &30 minutes
PMT House of Dance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3398&classDate=12/1/2023&clsLoc=1,IN PERSON: Intermediate Grooves and Execution,Mini Zhang,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3401&classDate=12/1/2023&clsLoc=1,IN PERSON: Adv. Beg. Contemporary,Mica Butnar,1 hour &30 minutes
PMT House of Dance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3506&classDate=12/1/2023&clsLoc=1,IN PERSON: Intro to Contemporary,Mack Pereira,1 hour &30 minutes
PMT House of Dance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3507&classDate=12/2/2023&clsLoc=1,IN PERSON: Adv. Beg. Hip Hop,Mini Zhang,1 hour &30 minutes
PMT House of Dance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3541&classDate=12/2/2023&clsLoc=1,IN PERSON: Adv. Beg. Choreography,Youran Lee,1 hour &30 minutes
PMT House of Dance,4:10 pm EST,none,IN PERSON: Adv. Beg. Breaking,Cancelled Today,1 hour &30 minutes
PMT House of Dance,5:40 pm EST,none,IN PERSON: Open Heels,Cancelled Today,1 hour &30 minutes
PMT House of Dance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3518&classDate=12/3/2023&clsLoc=1,IN PERSON: Beginner Contemporary,Kaitlyn Dee Snyder,1 hour &30 minutes
PMT House of Dance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3550&classDate=12/3/2023&clsLoc=1,IN PERSON: Beginner Ballet,Ci Diaz,1 hour &30 minutes
PMT House of Dance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3415&classDate=12/3/2023&clsLoc=1,IN PERSON: Adv. Beg. Hip Hop Choreo,Shoshanna Babitt,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3373&classDate=11/27/2023&clsLoc=1,IN PERSON: Basic/Beginner House,Marianna Koytsan,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3375&classDate=11/27/2023&clsLoc=1,IN PERSON: Adv. Beg./Int. Street Jazz,Mini Zhang,1 hour &30 minutes
PMT House of Dance,9:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3377&classDate=11/27/2023&clsLoc=1,IN PERSON: Breakin'101 - For Beginners,Lars Kong (2),1 hour &30 minutes
PMT House of Dance,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3547&classDate=11/28/2023&clsLoc=1,IN PERSON: Basic Party Moves and Grooves,Andy Needham,1 hour &30 minutes
PMT House of Dance,6:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3381&classDate=11/28/2023&clsLoc=1,IN PERSON: Open Popping,Big Mike (3),1 hour &30 minutes
PMT House of Dance,8:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3383&classDate=11/28/2023&clsLoc=1,IN PERSON: Open Waacking,Giorgia Vitali,1 hour &30 minutes
PMT House of Dance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3542&classDate=11/29/2023&clsLoc=1,IN PERSON: Intermediate Choreography,Youran Lee,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3495&classDate=11/29/2023&clsLoc=1,IN PERSON: Open Level Floorwork,Mack Pereira,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3389&classDate=11/29/2023&clsLoc=1,IN PERSON: Intermediate Contemporary Flow,Vive Khamsingsavath,1 hour &30 minutes
PMT House of Dance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3394&classDate=11/30/2023&clsLoc=1,IN PERSON: Adv. Beg. Choreography,Bo Belza,1 hour &30 minutes
PMT House of Dance,7:35 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3396&classDate=11/30/2023&clsLoc=1,IN PERSON: Beginner Vogue,Baby Oricci (4),1 hour &30 minutes
PMT House of Dance,9:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3397&classDate=11/30/2023&clsLoc=1,IN PERSON: Adv. Beg. Reggaeton,David Machicado,1 hour &30 minutes
PMT House of Dance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3399&classDate=12/1/2023&clsLoc=1,IN PERSON: Advanced Choreo,John John Tarrayo,1 hour &30 minutes
