Studio,Start time,Sign up,Classes,Teacher,Duration
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=378&classDate=11/27/2023&clsLoc=1,Sass Foundations: Sexy Stilettos®,Emma,1 hour
Sass Class,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=444&classDate=11/27/2023&clsLoc=1,Sexy Stilettos®,Emma,1 hour
Sass Class,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=502&classDate=11/27/2023&clsLoc=1,Sultry Street Jazz,David,1 hour
Sass Class,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=797&classDate=11/28/2023&clsLoc=1,Sexy Stilettos®,Brynlie,1 hour
Sass Class,7:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=480&classDate=11/28/2023&clsLoc=1,Sass Foundations: Sexy Stilettos®,Sophia,1 hour
Sass Class,8:20 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=481&classDate=11/28/2023&clsLoc=1,Sexy Stilettos®,Sophia,1 hour
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=741&classDate=11/29/2023&clsLoc=1,Sexy Stilettos®,Brynlie (1),1 hour
Sass Class,7:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=711&classDate=11/29/2023&clsLoc=1,Popstar Style,Gabby (2),1 hour
Sass Class,8:20 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=710&classDate=11/29/2023&clsLoc=1,Fierce Feminine® Hip-Hop,Gabby (3),1 hour
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=668&classDate=11/30/2023&clsLoc=1,Sass Foundations: Sexy Stilettos®,Laura,1 hour
Sass Class,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=669&classDate=11/30/2023&clsLoc=1,Sexy Stilettos®,Laura,1 hour
Sass Class,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=450&classDate=11/30/2023&clsLoc=1,Sass Advanced: Sexy Stilettos®,Emma,1 hour
Sass Class,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=789&classDate=12/2/2023&clsLoc=1,Empowered Expression™,Brynlie,1 hour
Sass Class,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=721&classDate=12/2/2023&clsLoc=1,Sexy Stilettos®,Kiersten,1 hour
Sass Class,3:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=785&classDate=12/2/2023&clsLoc=1,Sultry Street Jazz,Sofi,1 hour
Sass Class,10:50 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=716&classDate=12/3/2023&clsLoc=1,Sass Foundations: Sexy Stilettos®,Sophia,1 hour
Sass Class,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=611&classDate=12/3/2023&clsLoc=1,Fierce Feminine® Hip-Hop,Mary,1 hour
Sass Class,2:20 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=715&classDate=12/3/2023&clsLoc=1,Reggaeton,Jahaira,1 hour
Sass Class,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=617&classDate=11/27/2023&clsLoc=1,Sass Foundations 101,Brynlie,1 hour
Sass Class,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=616&classDate=11/27/2023&clsLoc=1,Empowered Expression™,Brynlie,1 hour
Sass Class,8:40 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=788&classDate=11/27/2023&clsLoc=1,Sass Advanced: Empowered Expression,Brynlie,1 hour
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=387&classDate=11/28/2023&clsLoc=1,Neo-Burlesque,Tony,1 hour
Sass Class,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=386&classDate=11/28/2023&clsLoc=1,Chairography™,Tony,1 hour
Sass Class,6:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=802&classDate=11/29/2023&clsLoc=1,Flirty Floorwork™,Sophia,1 hour
Sass Class,7:20 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=441&classDate=11/29/2023&clsLoc=1,Sexy Stilettos®,David,1 hour
