Studio,Start time,Classes,Instructor,Sign up
Brickhouse,15:00:00,Choreo Int/Adv,Eric Delgado,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7710&classDate=11/27/2023&clsLoc=1
Brickhouse,18:00:00,Genex Private,Kelly Peters,none
Brickhouse,13:30:00,Contemp Fusion Int,Alexa Luke,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7715&classDate=11/28/2023&clsLoc=1
Brickhouse,16:30:00,Hip Hop Adv. Beg/Int,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7712&classDate=11/28/2023&clsLoc=1
Brickhouse,20:00:00,Heels Int/Adv,Emma Rosa,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7713&classDate=11/28/2023&clsLoc=1
Brickhouse,12:30:00,Private Rehearsal,Various *,none
Brickhouse,15:00:00,Hip Hop Int/Adv,Nick Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7800&classDate=11/29/2023&clsLoc=1
Brickhouse,18:00:00,Genex Private,Kelly Peters,none
Brickhouse,12:30:00,Private Rehearsal,Various *,none
Brickhouse,16:30:00,Hip Hop Int/Adv,Nycole Altchiler,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7914&classDate=11/30/2023&clsLoc=1
Brickhouse,19:30:00,Expressive Movement Open Level,Kyla Bullings,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7953&classDate=11/30/2023&clsLoc=1
Brickhouse,15:30:00,Street Jazz Int/Adv,Bo Park,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7719&classDate=12/1/2023&clsLoc=1
Brickhouse,18:30:00,Adv. Choreo,Sam Javier,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7721&classDate=12/1/2023&clsLoc=1
Brickhouse,21:30:00,Popping Open Level,Castro .,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7801&classDate=12/1/2023&clsLoc=1
Brickhouse,10:00:00,Mixrz Company Rehearsal Private,Dani & Dom Russo,none
Brickhouse,15:00:00,Genxs Private,Kelly Peters,none
Brickhouse,10:00:00,X Factory Training Private,Kelly Peters,none
Brickhouse,15:00:00,X Factory Training Private,Kelly Peters,none
Brickhouse,20:00:00,Adult Beg Hip Hop,Desiree Adames,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7913&classDate=12/3/2023&clsLoc=1
Brickhouse,16:30:00,Pop Up,Sia Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7952&classDate=11/27/2023&clsLoc=1
Brickhouse,20:00:00,Mixrz Company Rehearsal Private,Dani & Dom Russo,none
Brickhouse,15:00:00,Street Jazz Adv. Beg/Int,Justin Desean,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7711&classDate=11/28/2023&clsLoc=1
Brickhouse,18:00:00,Generation X Private,Kelly Peters,none
Brickhouse,13:30:00,Contemp Int,Rae-ann Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7714&classDate=11/29/2023&clsLoc=1
Brickhouse,16:30:00,Pop Up,Karon Lynn,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7955&classDate=11/29/2023&clsLoc=1
Brickhouse,20:00:00,Hip Hop Adv,Rachel Wilson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7905&classDate=11/29/2023&clsLoc=1
Brickhouse,15:00:00,Heels Int/Adv,Sabina Lundgren,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7718&classDate=11/30/2023&clsLoc=1
Brickhouse,18:00:00,Pop Up,Brandon Trent,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7954&classDate=11/30/2023&clsLoc=1
Brickhouse,21:00:00,X Pro Private,Kelly Peters,none
Brickhouse,17:00:00,Adv. Street Jazz,Jay Mills,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7720&classDate=12/1/2023&clsLoc=1
Brickhouse,20:00:00,Hip Hop Adv. Beg/Int,Tweet Boogie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7722&classDate=12/1/2023&clsLoc=1
Brickhouse,12:00:00,X Factory Training Private,Kelly Peters,none
Brickhouse,18:30:00,Choreo Int/Adv,Roy Garzon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7885&classDate=12/2/2023&clsLoc=1
Brickhouse,13:00:00,Genxs Private,Kelly Peters,none
Brickhouse,18:00:00,X Pro Private,Kelly Peters,none
