Studio,Start time,Classes,Instructor,Sign up
Cumbe,18:30:00,Haitian Dance D4J,Julio Jean,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4142&classDate=11/27/2023&clsLoc=1
Cumbe,19:00:00,Afro-Fusion All Levels,Tamara Jones,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3991&classDate=11/28/2023&clsLoc=1
Cumbe,19:00:00,Congolese Dance And Drum D4J,Andoche Loubaki,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4167&classDate=11/29/2023&clsLoc=1
Cumbe,18:30:00,West African Drumming D4J,Vado Diomande,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4145&classDate=11/30/2023&clsLoc=1
Cumbe,19:00:00,Chicago Style Steppin' All Levels,NY Chicago Style Steppers,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4003&classDate=11/30/2023&clsLoc=1
Cumbe,18:45:00,Rabòdayfit All Levels,Robenson Mathurin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4158&classDate=12/1/2023&clsLoc=1
Cumbe,16:30:00,Compas/Kompa Dance All Levels,Julio Jean & Robenson Mathurin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4180&classDate=12/2/2023&clsLoc=1
Cumbe,14:00:00,Sabar + Kutiro,Ousmane Sall,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4166&classDate=12/2/2023&clsLoc=1
Cumbe,10:30:00,Bellydancing D4J,Jaida,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4144&classDate=12/3/2023&clsLoc=1
Cumbe,14:00:00,Batala D4J,Batalá New York,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4143&classDate=12/3/2023&clsLoc=1
Cumbe,18:30:00,Asa! Fitness W/ Jerijah All Levels,Jerijah West,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4036&classDate=11/27/2023&clsLoc=1
Cumbe,18:30:00,West African Dance,Vado Diomande,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3990&classDate=11/28/2023&clsLoc=1
Cumbe,19:30:00,Afro Brazilian And Samba D4J,Quenia Ribeiro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4141&classDate=11/29/2023&clsLoc=1
Cumbe,19:00:00,Asa!,Dianne Adkins-Forte,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4130&classDate=11/30/2023&clsLoc=1
Cumbe,19:30:00,West African Special Workshop,Tamara Jones,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4177&classDate=11/30/2023&clsLoc=1
Cumbe,12:00:00,Dunham Jazz D4J,Candice Michelle Franklin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4160&classDate=12/2/2023&clsLoc=1
Cumbe,12:00:00,West African Guinean Dance D4J,Darian Parker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4147&classDate=12/3/2023&clsLoc=1
